"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"53420","11000UQ171PS201912150178","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","94.36663020","45.75899887"
"53419","11000UQ171PS201912150177","UQQ900"," "," ","UQQ900","11000EZZ201005141947","11000NTC201005124905","개발행위허가제한지역 1","11000"," ","2019-12-15 00:00:00.0","85231.92652770","1305.35998535"
"53418","11000UQ171PS201912150049","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","599.21667323","104.50199890"
"53417","11000UQ171PS201912150048","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","19693.58981390","740.10498047"
"53416","11000UQ171PS201912150027","UQQ900"," "," ","UQQ900","11000EZZ200901301805","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","23123.91061820","605.86401367"
"53415","11000UQ171PS201912150026","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","1658.04620223","183.11000061"
"53414","11000UQ171PS201912150047","UQQ900"," "," ","UQQ900","11000EZZ200901141782","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","63748.38576060","1231.31005859"
"53413","11000UQ171PS201912150046","UQQ900"," "," ","UQQ900","11000EZZ200901301797","11000NTC200901152681","방배동 주택재건축사업 예정지역","11000"," ","2019-12-15 00:00:00.0","22111.17481030","636.54400635"
"53412","11000UQ171PS201912150045","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","335.94719950","73.84380341"
"53411","11000UQ171PS201912150044","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","6818.99320790","391.06298828"
"53410","11000UQ171PS201912150043","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","2143.36289823","190.43699646"
"53409","11000UQ171PS201912150041","UQQ900"," "," ","UQQ900","11000EZZ000000001711"," ","개발행위허가제한지역","11000"," ","2019-12-15 00:00:00.0","5814.11165723","453.68701172"
