"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"115294","11000UQ153PS201912153523","UQT300","UQT310"," ","UQT310","11000URZ000000001531"," ","완충녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","2429.96558607","445.91652970"
"115295","11000UQ153PS201912153524","UQT300","UQT310"," ","UQT310","11000URZ200909280015","11000NTC200909283894","완충녹지","11000","15","EMA0009","2019-12-15 00:00:00.0","1038.70007821","227.63124817"
"115296","11000UQ153PS201912153525","UQT300","UQT310"," ","UQT310","11000URZ200512301736","11000NTC200512309446","완충녹지","11000","공1","EMA0009","2019-12-15 00:00:00.0","407.03156618","100.61431607"
"115297","11000UQ153PS201912153526","UQT300","UQT310"," ","UQT310","11000URZ201411274304","11000NTC201411277341","녹지","11000","4","EMA0009","2019-12-15 00:00:00.0","1417.05808725","327.17861321"
"115302","11000UQ153PS201912150444","UQT200","UQT205"," ","UQT205","11000URZ201601203088","11000NTC201601207705","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","672.06022487","103.38344958"
"115303","11000UQ153PS201912150445","UQT200","UQT210"," ","UQT210","11000URZ199505209837","11000NTC199505205251","오거리공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1346.54000963","160.26948466"
"115304","11000UQ153PS201912150602","UQT200","UQT210"," ","UQT210","11000URZ199505200201","11000NTC199505205251","온곡공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1500.10040018","152.95047871"
"115305","11000UQ153PS201912151025","UQT200","UQT205"," ","UQT205","11000URZ201706154978","11000NTC201706158163","소공원","11000","1","EMA0009","2019-12-15 00:00:00.0","380.00018437","80.97992535"
"115306","11000UQ153PS201912151026","UQT200","UQT210"," ","UQT210","11000URZ201612297060","11000NTC201612297984","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","3049.34875098","228.48261967"
"115307","11000UQ153PS201912151028","UQT200","UQT210"," ","UQT210","11000URZ200107120066","11000NTC200107121018","아랫말공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","947.68632660","126.52220721"
"115308","11000UQ153PS201912151030","UQT200","UQT210"," ","UQT210","11000URZ199505207904","11000NTC199505205251","신곡공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","990.46284365","130.99781494"
"115309","11000UQ153PS201912151031","UQT200","UQT290"," ","UQT290","11000URZ000000001531"," ","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1573.11018015","172.70206987"
"115310","11000UQ153PS201912151032","UQT200","UQT210"," ","UQT210","11000URZ199505200867","11000NTC199505205251","은행정공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1062.15652912","143.07891394"
"115311","11000UQ153PS201912151033","UQT200","UQT220"," ","UQT220","11000URZ201511125095","11000NTC201511127642","상일공원","11000","13","EMA0009","2019-12-15 00:00:00.0","9704.26877790","608.03818706"
"115666","11000UQ153PS201912151085","UQT200","UQT280"," ","UQT280","11000URZ200909281862","11000NTC200909283895","수변공원","11000","①","EMA0009","2019-12-15 00:00:00.0","18920.11065700","1996.34290908"
"115667","11000UQ153PS201912151086","UQT200","UQT205"," ","UQT205","11000URZ201311225444","11000NTC201311227002","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","427.39140114","103.98890699"
"115668","11000UQ153PS201912151087","UQT200","UQT210"," ","UQT210","11000URZ197805305220","11000NTC197805302556","삼선아동공원","11000","38","EMA0009","2019-12-15 00:00:00.0","9297.05801103","468.66894820"
"115669","11000UQ153PS201912151088","UQT200","UQT210"," ","UQT210","11000URZ199603303494","11000NTC199603305909","공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","2488.10686526","272.66540952"
"115670","11000UQ153PS201912151089","UQT200","UQT230"," ","UQT230","11000URZ000000001531"," ","도시자연공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","16104.37213230","816.13257648"
"115671","11000UQ153PS201912151090","UQT200","UQT290"," ","UQT290","11000URZ000000001531"," ","기타 공원시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","672.22387279","103.85521696"
"115672","11000UQ153PS201912151091","UQT200","UQT205"," ","UQT205","11000URZ201004277302","11000NTC201004274830","공원","11000","6","EMA0009","2019-12-15 00:00:00.0","6353.62663241","623.05587544"
"115673","11000UQ153PS201912151092","UQT200","UQT220"," ","UQT220","11000URZ200511246630","11000NTC200511249183","궁산공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","134871.11377900","1869.02212854"
"115674","11000UQ153PS201912151093","UQT200","UQT205"," ","UQT205","11000URZ201512176867","11000NTC201512177682","공원","11000","7","EMA0009","2019-12-15 00:00:00.0","67.86873274","34.48045556"
"115675","11000UQ153PS201912151095","UQT200","UQT290"," ","UQT290","11000URZ000000001531"," ","기타 공원시설","11000"," ","EMA0009","2019-12-15 00:00:00.0","174.69630763","64.74775417"
"115676","11000UQ153PS201912151096","UQT200","UQT220"," ","UQT220","11000URZ000000001531"," ","신계공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","367.20139804","137.98143890"
"115677","11000UQ153PS201912154681","UQT500","UQT510"," ","UQT510","11000URZ201004223069","11000NTC201004224815","공공공지","11000","1","EMA0009","2019-12-15 00:00:00.0","9331.18357607","856.80238275"
"115678","11000UQ153PS201912151097","UQT200","UQT270"," ","UQT270","11000URZ200906044002","11000NTC200906043416","문화공원","11000"," ","EMA0009","2019-12-15 00:00:00.0","1613.74222337","187.06859081"
"115679","11000UQ153PS201912151578","UQT200","UQT210"," ","UQT210","11000URZ199808194377","11000NTC199808198176","늘푸른공원","11000","140","EMA0009","2019-12-15 00:00:00.0","2513.20523959","200.53005114"
"116053","11000UQ153PS201912153120","UQT300","UQT330"," ","UQT330","11000URZ201406261796","11000NTC201406267244","녹지","11000","31","EMA0009","2019-12-15 00:00:00.0","285.64432069","83.71738283"
"116054","11000UQ153PS201912153121","UQT300","UQT310"," ","UQT310","11000URZ201406266522","11000NTC201406267245","녹지","11000"," ","EMA0009","2019-12-15 00:00:00.0","1969.16796571","415.50723997"
