DGM_NM,gid
유통업무설비,다사520482
유통업무설비,다사525484
유통업무설비,다사526484
유통업무설비,다사527484
유통업무설비,다사523482
유통업무설비,다사529483
유통업무설비,다사520483
유통업무설비,다사528482
유통업무설비,다사523484
유통업무설비,다사524484
유통업무설비,다사523483
유통업무설비,다사528484
유통업무설비,다사521484
유통업무설비,다사522482
유통업무설비,다사521483
유통업무설비,다사521481
유통업무설비,다사528483
유통업무설비,다사524483
유통업무설비,다사527482
유통업무설비,다사522483
유통업무설비,다사526482
유통업무설비,다사521482
유통업무설비,다사522484
유통업무설비,다사527483
유통업무설비,다사525483
유통업무설비,다사527481
유통업무설비,다사524482
유통업무설비,다사526483
유통업무설비,다사525482
시장시설 기타,다사595534
시장시설 기타,다사595535
시장시설 기타,다사594535
시장시설 기타,다사594534
농수산물도매시장,다사503463
농수산물도매시장,다사503462
농수산물도매시장,다사505462
농수산물도매시장,다사504463
농수산물도매시장,다사501462
농수산물도매시장,다사505463
농수산물도매시장,다사501463
농수산물도매시장,다사502462
농수산물도매시장,다사504462
농수산물도매시장,다사502463
시장,다사677501
시장,다사677502
시장,다사676501
시장,다사676502
시장,다사426449
시장,다사426450
유영시장,다사643547
유영시장,다사644547
연서시장,다사490579
연서시장,다사489578
연서시장,다사489579
시장,다사419521
시장,다사419520
시장,다사418521
시장,다사418520
난곡시장,다사487413
난곡시장,다사487414
면곡시장,다사630525
면곡시장,다사630524
면곡시장,다사629524
면곡시장,다사630525
시장,다사489506
시장,다사489505
시장,다사488506
시장,다사488505
신도림시장,다사476442
신도림시장,다사476441
신도림시장,다사475442
신도림시장,다사475441
신도림시장,다사476443
시장,다사496477
시장,다사495477
삼익시장,다사497475
삼익시장,다사497476
삼익시장,다사496475
삼호아파트시장,다사547443
삼호아파트시장,다사546442
삼호아파트시장,다사547442
삼호아파트시장,다사546443
여의도종합시장,다사491471
여의도종합시장,다사491470
여의도종합시장,다사492470
용두시장,다사584533
용두시장,다사584532
시장,다사419442
시장,다사419441
시장,다사418441
시장,다사418442
소매시장,다사630540
소매시장,다사629539
소매시장,다사629540
소매시장,다사630539
신월소매시장,다사419467
신월소매시장,다사419468
경동시장,다사592533
경동시장,다사593533
경동시장,다사592534
경동시장,다사593534
시장,다사685505
시장,다사685504
시장,다사684504
시장,다사684505
북부수유시장,다사573597
북부수유시장,다사573598
북부수유시장,다사572597
시장,다사433484
시장,다사434483
시장,다사433483
염림시장,다사508425
염림시장,다사509425
염림시장,다사508426
염림시장,다사509426
시장,다사627555
시장,다사627556
시장,다사626556
시장,다사626555
시장,다사496521
시장,다사495521
시장,다사496520
낙원상가,다사547527
낙원상가,다사548527
낙원상가,다사547526
