DGM_NM,gid
서일중학교,다사578445
서일중학교,다사577444
대림중학교,다사475437
대림중학교,다사477438
대림중학교,다사475438
대림중학교,다사476438
대림중학교,다사476437
대림중학교,다사477438
대림중학교,다사476437
북악중학교,다사560564
북악중학교,다사559564
북악중학교,다사559565
북악중학교,다사560565
학교,다사624605
학교,다사626605
학교,다사626606
학교,다사625605
학교,다사624606
학교,다사625606
학교,다사456536
학교,다사455538
학교,다사455537
학교,다사455536
학교,다사456537
화원중학교,다사418487
화원중학교,다사419488
화원중학교,다사419487
화원중학교,다사418488
개웅중학교,다사426433
개웅중학교,다사425432
개웅중학교,다사426434
개웅중학교,다사426432
개웅중학교,다사425433
공공청사,다사652413
공공청사,다사652412
공공청사,다사487528
공공청사,다사487527
공공청사,다사488527
공공청사,다사487528
공공청사,다사487527
공익,다사488602
공익,다사488601
공익,다사489602
공익,다사489601
기타학교시설,다사579527
기타학교시설,다사579527
기타학교시설,다사580527
기타학교시설,다사580526
상봉중학교,다사638557
상봉중학교,다사639558
상봉중학교,다사637558
상봉중학교,다사638559
상봉중학교,다사638558
태능중학교,다사630569
태능중학교,다사630570
태능중학교,다사631571
태능중학교,다사632569
태능중학교,다사632571
태능중학교,다사632570
태능중학교,다사631569
태능중학교,다사631570
면목중학교,다사643537
면목중학교,다사644538
면목중학교,다사644536
면목중학교,다사643536
면목중학교,다사642538
면목중학교,다사642537
면목중학교,다사643538
면목중학교,다사644537
학교시설 기타,다사586418
학교시설 기타,다사587417
학교시설 기타,다사585417
학교시설 기타,다사586416
학교시설 기타,다사585416
학교시설 기타,다사586417
학교,다사599634
학교,다사598634
학교,다사599636
학교,다사598636
학교,다사598635
학교,다사599635
용곡중학교,다사637520
용곡중학교,다사636518
용곡중학교,다사638520
용곡중학교,다사636520
용곡중학교,다사635519
용곡중학교,다사635520
용곡중학교,다사636519
용곡중학교,다사637519
용곡중학교,다사637518
중학교,다사645464
중학교,다사646464
강남공업고등학교,다사631424
강남공업고등학교,다사633425
강남공업고등학교,다사634425
강남공업고등학교,다사631425
강남공업고등학교,다사632425
강남공업고등학교,다사632424
강남공업고등학교,다사632423
강남공업고등학교,다사634424
강남공업고등학교,다사633424
강남공업고등학교,다사633423
상문고등학교,다사562425
상문고등학교,다사561422
상문고등학교,다사562423
상문고등학교,다사562424
상문고등학교,다사561423
상문고등학교,다사560426
상문고등학교,다사562422
상문고등학교,다사561426
상문고등학교,다사560424
상문고등학교,다사561425
상문고등학교,다사561424
상문고등학교,다사560425
한국성서대학교,다사616610
한국성서대학교,다사614611
한국성서대학교,다사615611
한국성서대학교,다사615610
한국성서대학교,다사615609
한국성서대학교,다사616611
한국성서대학교,다사614610
학교,다사406500
학교,다사407500
학교,다사407503
학교,다사406500
학교,다사407500
학교,다사407501
학교,다사407502
학교,다사406501
학교,다사406503
학교,다사406502
학교,다사405445
학교,다사406443
학교,다사406444
학교,다사404444
학교,다사406445
학교,다사404443
학교,다사406442
학교,다사404445
학교,다사405442
학교,다사405443
학교,다사405444
서울예술고등학교,다사530563
서울예술고등학교,다사532564
서울예술고등학교,다사530564
서울예술고등학교,다사531563
서울예술고등학교,다사532563
서울예술고등학교,다사531564
운암고등학교,다사422459
운암고등학교,다사419460
운암고등학교,다사419458
운암고등학교,다사420457
운암고등학교,다사421460
운암고등학교,다사420459
운암고등학교,다사420460
운암고등학교,다사421459
운암고등학교,다사420461
운암고등학교,다사421458
운암고등학교,다사421461
운암고등학교,다사419459
운암고등학교,다사420458
운암고등학교,다사422458
상계고등학교,다사608614
상계고등학교,다사607614
상계고등학교,다사608615
상계고등학교,다사607615
상계고등학교,다사608616
당산중학교,다사475482
당산중학교,다사475483
당산중학교,다사476481
당산중학교,다사475481
당산중학교,다사476482
당산중학교,다사477481
당산중학교,다사477482
당산중학교,다사476483
유치원(유아원),다사411462
유치원(유아원),다사410462
양재고등학교,다사586427
양재고등학교,다사587426
양재고등학교,다사588427
양재고등학교,다사585427
양재고등학교,다사586426
양재고등학교,다사587427
"진선여중,고교",다사601449
"진선여중,고교",다사600447
"진선여중,고교",다사602446
"진선여중,고교",다사602447
"진선여중,고교",다사601448
"진선여중,고교",다사598448
"진선여중,고교",다사600449
"진선여중,고교",다사600448
"진선여중,고교",다사599448
"진선여중,고교",다사598447
"진선여중,고교",다사599447
"진선여중,고교",다사601447
"진선여중,고교",다사601446
세종고등학교,다사649435
세종고등학교,다사647434
세종고등학교,다사648434
세종고등학교,다사649434
세종고등학교,다사647435
세종고등학교,다사648435
창덕여자고등학교,다사682463
창덕여자고등학교,다사681462
창덕여자고등학교,다사682462
창덕여자고등학교,다사680463
창덕여자고등학교,다사680462
창덕여자고등학교,다사682464
창덕여자고등학교,다사681464
창덕여자고등학교,다사681463
학교,다사482448
학교,다사484448
학교,다사484449
학교,다사482449
학교,다사483448
학교,다사483449
서울과학고교,다사556547
서울과학고교,다사558547
서울과학고교,다사558548
서울과학고교,다사555547
서울과학고교,다사555548
