"광역지자체","시군구","50KW","100KW싱글","100KW듀얼","200KW듀얼","300KW이상","사용량(kWh)","등록일시"
"서울특별시","서초구","2","0","0","0","0","12798.41","2020-11-01 23:07:00.0"
"서울특별시","노원구","3","0","0","0","0","12165.38","2020-11-01 23:07:00.0"
"서울특별시","중구","2","0","0","0","0","12143.07","2020-11-01 23:07:00.0"
"서울특별시","서초구","1","0","0","0","0","10322.43","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","9178.25","2020-11-01 23:07:00.0"
"서울특별시","동작구","1","0","0","0","0","8610.24","2020-11-01 23:07:00.0"
"서울특별시","용산구","3","0","0","0","0","7465.88","2020-11-01 23:07:00.0"
"서울특별시","은평구","1","0","0","0","0","6065.92","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","4405.68","2020-11-01 23:07:00.0"
"서울특별시","금천구","2","0","0","0","0","4217.551","2020-11-01 23:07:00.0"
"서울특별시","서대문구","3","0","0","0","0","3615.47","2020-11-01 23:07:00.0"
"서울특별시","서초구","2","0","0","0","0","3232.6","2020-11-01 23:07:00.0"
"서울특별시","서대문구","3","0","0","0","0","1537.11","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","1203.85","2020-11-01 23:07:00.0"
"서울특별시","강동구","1","0","0","0","0","855.52","2020-11-01 23:07:00.0"
"서울특별시","노원구","4","0","0","0","0","622.47","2020-11-01 23:07:00.0"
"서울특별시","양천구","1","0","0","0","0","445.05","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","374.3","2020-11-01 23:07:00.0"
"서울특별시","구로구","1","0","0","0","0","229.78","2020-11-01 23:07:00.0"
"서울특별시","서초구","1","0","0","0","0","217.65","2020-11-01 23:07:00.0"
"서울특별시","관악구","1","0","0","0","0","65.77","2020-11-01 23:07:00.0"
"서울특별시","양천구","1","0","0","0","0","50.07","2020-11-01 23:07:00.0"
"서울특별시","동작구","1","0","0","0","0","32.8","2020-11-01 23:07:00.0"
"서울특별시","양천구","1","0","0","0","0","9.03","2020-11-01 23:07:00.0"
"서울특별시","서초구","1","0","0","0","0","3.43","2020-11-01 23:07:00.0"
"서울특별시","광진구","3","0","0","0","0","1.73","2020-11-01 23:07:00.0"
"서울특별시","성동구","1","0","0","0","0","0.81","2020-11-01 23:07:00.0"
"서울특별시","서초구","1","0","0","0","0","0.7","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","0.32","2020-11-01 23:07:00.0"
"서울특별시","서초구","1","0","0","0","0","0.06","2020-11-01 23:07:00.0"
"서울특별시","서초구","0","1","0","0","0","4.125","2020-11-01 23:07:00.0"
"서울특별시","중랑구","4","0","0","0","0","16623.59","2020-11-01 23:07:00.0"
"서울특별시","성동구","18","0","0","0","0","111026.44","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","10454.65","2020-11-01 23:07:00.0"
"서울특별시","노원구","1","0","0","0","0","29271.87","2020-11-01 23:07:00.0"
"서울특별시","성동구","1","0","0","0","0","20764.66","2020-11-01 23:07:00.0"
"서울특별시","성북구","8","0","0","0","0","99188.22","2020-11-01 23:07:00.0"
"서울특별시","강동구","6","0","0","0","0","16637.63","2020-11-01 23:07:00.0"
"서울특별시","은평구","4","0","0","0","0","10398.36","2020-11-01 23:07:00.0"
"서울특별시","관악구","1","0","0","0","0","9847","2020-11-01 23:07:00.0"
"서울특별시","서초구","3","0","0","0","0","12191","2020-11-01 23:07:00.0"
"서울특별시","노원구","0","0","1","0","0","9619","2020-11-01 23:07:00.0"
"서울특별시","중구","1","0","0","0","0","8152","2020-11-01 23:07:00.0"
"서울특별시","용산구","1","0","0","0","0","4300.9","2020-11-01 23:07:00.0"
"서울특별시","중구","1","0","0","0","0","8909.5570086655","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","32169.4712740272","2020-11-01 23:07:00.0"
"서울특별시","용산구","1","0","0","0","0","12505.2721455007","2020-11-01 23:07:00.0"
"서울특별시","노원구","1","0","0","0","0","33800.9529303319","2020-11-01 23:07:00.0"
"서울특별시","양천구","1","0","0","0","0","41853.5435819151","2020-11-01 23:07:00.0"
"서울특별시","영등포구","1","0","0","0","0","23785.3878965492","2020-11-01 23:07:00.0"
"서울특별시","노원구","1","0","0","0","0","18329.3232116763","2020-11-01 23:07:00.0"
"서울특별시","은평구","1","0","0","0","0","19664.7818565525","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","41946.1457199049","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","9876.3850259344","2020-11-01 23:07:00.0"
"서울특별시","중구","1","0","0","0","0","22400.3478835359","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","16225.8728920003","2020-11-01 23:07:00.0"
"서울특별시","영등포구","1","0","0","0","0","8101.730637344","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","24336.9918465891","2020-11-01 23:07:00.0"
"서울특별시","마포구","1","0","0","0","0","14009.992765834","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","42571.6387908614","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","20590.3324765634","2020-11-01 23:07:00.0"
"서울특별시","용산구","1","0","0","0","0","28521.1613564542","2020-11-01 23:07:00.0"
"서울특별시","동작구","1","0","0","0","0","5144.3456247791","2020-11-01 23:07:00.0"
"서울특별시","서초구","1","0","0","0","0","58933.3502878942","2020-11-01 23:07:00.0"
"서울특별시","마포구","1","0","0","0","0","10907.5788660368","2020-11-01 23:07:00.0"
"서울특별시","강서구","0","1","0","0","0","4760.75","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","7741.06","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","11902.81","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","9216.91","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","5301.1","2020-11-01 23:07:00.0"
"서울특별시","중구","1","0","0","0","0","6655.73","2020-11-01 23:07:00.0"
"서울특별시","중구","1","0","0","0","0","6610.24","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","7651.81","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","4637.27","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","1818.56","2020-11-01 23:07:00.0"
"서울특별시","광진구","1","0","0","0","0","3001.19","2020-11-01 23:07:00.0"
"서울특별시","광진구","1","0","0","0","0","1277.29","2020-11-01 23:07:00.0"
"서울특별시","광진구","1","0","0","0","0","5910.83","2020-11-01 23:07:00.0"
"서울특별시","강서구","1","0","0","0","0","3319.17","2020-11-01 23:07:00.0"
"서울특별시","마포구","7","0","0","0","0","334262.03","2020-11-01 23:07:00.0"
"서울특별시","마포구","10","0","0","0","0","291326.119","2020-11-01 23:07:00.0"
"서울특별시","광진구","2","0","0","0","0","245904.84","2020-11-01 23:07:00.0"
"서울특별시","강서구","4","0","0","0","0","159518.26","2020-11-01 23:07:00.0"
"서울특별시","송파구","3","0","0","0","0","158609.43","2020-11-01 23:07:00.0"
"서울특별시","양천구","4","0","0","0","0","141939.99","2020-11-01 23:07:00.0"
"서울특별시","강북구","4","0","0","0","0","135095.91","2020-11-01 23:07:00.0"
"서울특별시","광진구","1","0","0","0","0","132782.14","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","128863.51","2020-11-01 23:07:00.0"
"서울특별시","강남구","1","0","0","0","0","117506.93","2020-11-01 23:07:00.0"
"서울특별시","마포구","2","0","0","0","0","103787.37","2020-11-01 23:07:00.0"
"서울특별시","도봉구","1","0","0","0","0","93584.579","2020-11-01 23:07:00.0"
"서울특별시","중구","2","0","0","0","0","92844.54","2020-11-01 23:07:00.0"
"서울특별시","강남구","2","0","0","0","0","89598.039","2020-11-01 23:07:00.0"
"서울특별시","송파구","1","0","0","0","0","89015.91","2020-11-01 23:07:00.0"
"서울특별시","중구","2","0","0","0","0","86894.31","2020-11-01 23:07:00.0"
