번호,광역지자체,시군구, 50키로와트 , 100키로와트 , 100키로와트듀얼 , 200키로와트듀얼 , 300키로와트이상 ,  사용량(키로와트시)  
173,강원,강릉시,1,0,0,0,0,"110,091"
174,대구,북구,1,0,0,0,0,"110,042"
175,광주,광산구,1,0,0,0,0,"109,330"
176,강원,원주시,1,0,0,0,0,"109,277"
177,서울,광진구,2,0,0,0,0,"108,228"
178,광주,북구,1,0,0,0,0,"107,927"
179,대구,수성구,2,0,0,0,0,"107,750"
180,충남,계룡시,1,0,0,0,0,"106,737"
181,대구,북구,3,0,0,0,0,"106,585"
182,제주,서귀포시,1,0,0,0,0,"105,653"
183,서울,성북구,2,0,0,0,0,"105,451"
184,충북,음성군,1,0,0,0,0,"105,225"
185,강원,춘천시,1,0,0,0,0,"105,222"
186,대구,동구,2,0,0,0,0,"105,138"
187,강원,정선군,1,0,0,0,0,"104,857"
188,전북,전주시,1,0,0,0,0,"104,682"
189,광주,광산구,1,0,0,0,0,"104,515"
190,전북,익산시,1,0,0,0,0,"104,408"
191,강원,춘천시,1,0,0,0,0,"104,180"
192,강원,강릉시,1,0,0,0,0,"104,011"
193,강원,춘천시,1,0,0,0,0,"103,547"
194,충남,아산시,2,0,0,0,0,"103,414"
195,충북,청주시,1,0,0,0,0,"102,812"
196,제주,제주시,2,0,0,0,0,"102,245"
197,경기,여주시,1,0,0,0,0,"102,185"
198,부산,해운대구,1,0,0,0,0,"102,178"
199,강원,원주시,1,0,0,0,0,"101,926"
200,전남,여수시,2,0,0,0,0,"101,163"
201,제주,서귀포시,1,0,0,0,0,"101,062"
202,대구,달성군,1,0,0,0,0,"101,022"
203,제주,제주시,3,0,0,0,0,"100,999"
204,경남,창원시,1,0,0,0,0,"100,736"
205,인천,강화군,1,0,0,0,0,"100,386"
206,강원,강릉시,1,0,0,0,0,"100,248"
207,광주,남구,1,0,0,0,0,"99,196"
208,경기,의왕시,1,0,0,0,0,"98,669"
209,강원,춘천시,2,0,0,0,0,"98,287"
210,충북,충주시,1,0,0,0,0,"98,185"
211,경기,고양시,1,0,0,0,0,"97,973"
212,전북,남원시,1,0,0,0,0,"97,352"
213,서울,강동구,2,0,0,0,0,"97,214"
214,경기,구리시,1,0,0,0,0,"96,688"
215,전남,목포시,1,0,0,0,0,"96,571"
216,서울,종로구,2,0,0,0,0,"96,551"
217,충남,당진시,2,0,0,0,0,"96,450"
218,대구,동구,1,0,0,0,0,"96,179"
219,대전,동구,1,0,0,0,0,"95,555"
220,경기,양평군,1,0,0,0,0,"95,508"
221,경남,통영시,1,0,0,0,0,"95,269"
222,대구,서구,1,0,0,0,0,"94,724"
