시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
서울특별시,성내동중앙하이츠,서울특별시 강동구 성내동 410-2,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,1 ,4 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,천호유수지,서울특별시 강동구 천호동 329,2 ,0 ,"SM3 Z.E,테슬라"
서울특별시,한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,현대백화점 천호점,서울특별시 강동구 천호대로 1005,3 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,홈플러스 강동점,서울특별시 강동구 양재대로 1571,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,힐스테이트 강동리버뷰,서울특별시 강동구 암사동 675,0 ,5 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
서울특별시,강북문화예술회관,서울특별시 강북구 수유동 360-10,1 ,0 ,"SM3 Z.E,테슬라"
