설치장소,급속충전기(대),완속충전기(대),위도,경도
문래건영아파트,0,3,37.5184818,126.8923341
문래금호어울림 아파트,0,1,37.5190363,126.8975658
문래자이아파트,1,2,37.5160898,126.8967856
문래힐스테이트,0,8,37.5190993,126.8945465
바다마을아파트,0,4,37.5035447,126.9065597
보라매벚꽃마을아파트,0,1,37.4972183,126.9097426
서울영등포우체국,2,0,37.5290544,126.8948128
신길경남 아파트,1,2,37.5156487,126.9183614
신길뉴타운한화꿈에그린,0,2,37.5064568,126.9104738
신길삼성래미안,1,2,37.5071122,126.9168564
양평한신아파트,1,1,37.54011029999999,126.89215
"여의도KBS (본관,신관)",4,0,37.5255823,126.9164588
영등포구민회관,2,0,37.525969,126.9000964
영등포레미안 아파트,1,3,37.5062485,126.9139521
영등포아트자이 아파트,1,3,37.5094509,126.8973496
영등포전력지사,1,2,37.5171292,126.9102361
LG한강자이 아파트,1,3,37.5202911,126.9692535
국립 중앙 박물관,3,0,37.5226928,126.9779237
대우월드마크용산,0,5,37.53711800000001,126.9728863
동아그린 아파트,1,2,37.5239273,126.9580321
래미안첼리투스,1,2,37.5234629,126.9666697
리첸시아 아파트,1,0,37.5380677,126.9676185
리첸시아용산B블록,0,2,37.5399325,126.9674607
용산더프라임,1,1,37.5395425,126.9696704
용산시티파크1단지,1,0,37.52909229999999,126.9606764
용산아크로타워,0,2,37.5374207,126.969245
용산역 아이파크몰,10,11,37.5288539,126.9640447
용산이안 아파트,0,2,37.5374207,126.969245
용산전자상가1 공영주차장,1,0,37.5320021,126.9647513
용산파크자이아파트,0,5,37.5365551,126.9728148
용산한신 아파트,0,2,37.5345491,126.9899665
이안용산프리미어,1,2,37.5370133,126.9696862
전쟁기념관,3,0,37.5366059,126.9771397
청암자이 아파트,1,2,37.5349984,126.9474629
파크타워 아파트,1,3,37.5261782,126.9746368
프라임팰리스,0,1,37.5374207,126.969245
한강대우,1,2,37.5234629,126.9666697
한남동현대하이페리온,0,2,37.52310230000001,126.9844401
꿈에그린,0,2,37.6402836,126.9200229
서대문은평지사,1,3,37.6053453,126.9335807
서북병원,1,0,37.6041552,126.9048703
은평뉴타운우물골6단지,1,2,37.6354486,126.9231387
은평스카이뷰자이아파트,0,3,37.6414434,126.9186725
은평평화공원 공영주차장,1,0,37.6056825,126.9230784
한국프라우드아파트,0,1,37.60613439999999,126.9157557
SK렌터카 본사,1,2,37.5693834,126.9871898
경희궁의아침3단지 아파트,0,2,37.5733392,126.97195
광화문스페이스본 아파트,1,3,37.5746878,126.9708635
국립현대미술관 서울관,2,0,37.578408,126.9811952
동성빌라,0,1,37.6142785,126.960049
명륜아남1차 아파트,1,2,37.5845012,126.9990943
무악현대 아파트,1,3,37.5773553,126.9586242
서울대학교병원 대한외래병동주차장,2,0,37.5792598,126.9983979
서울대학교병원 암병동 주차장,2,0,37.5792598,126.9983979
서울대학교병원 장례식장주차장,2,0,37.5807021,126.9994326
석탄회관,1,0,37.5728708,126.9803232
인왕산2차아이파크,0,2,37.5773553,126.9586242
종로센트레빌,1,0,37.5790474,127.0181604
창신두산 아파트,1,2,37.5749946,127.0141567
창신쌍용2단지 아파트,1,1,37.5805056,127.0121566
창신이수 아파트,0,2,37.5762104,127.0152403
효성주얼리시티,0,2,37.57223130000001,126.9974345
LIG서울역리가아파트,0,2,37.55612,126.9676729
국립중앙극장,3,0,37.5553677,127.0021234
남산롯데캐슬아이리스 아파트,1,0,37.56055569999999,126.9818186
남산센트럴자이,0,2,37.5622705,126.996153
남산케이블카,1,0,37.5566746,126.981124
남산타운 아파트,2,6,37.5491389,127.0093824
덕수궁 롯데캐슬,0,2,37.5637417,126.9704545
동대문디자인플라자,2,0,37.5667521,127.0101046
롯데캐슬베네치아,2,2,37.5674517,127.0214099
묵정공원 공영주차장,2,0,37.5636449,126.9997887
서울시청,2,0,37.5663797,126.9777154
서울역(한화역사),2,0,37.5574069,126.9694999
서울전력관리처,1,2,37.5605974,126.9874061
서울직할,2,5,37.56512710000001,126.9833299
쌍용남산플래티넘 아파트,1,1,37.5593701,126.983201
약수동공영주차장,2,0,37.5521895,127.0133269
전국은행연합회,3,0,37.5649741,126.9854487
한국관광공사 옆 노상 공영주차장,3,0,37.5681692,126.9820026
동대문중랑지사,1,6,37.6074439,127.0792372
면목3동 공영주차장,1,0,37.5807761,127.0938311
"면목두산2,3차 아파트",1,2,37.5794388,127.0842932
"면목두산4,5단지 아파트",1,2,37.5787398,127.0824743
면목두원 아파트,0,2,37.6042971,127.0780346
묵동자이1단지 아파트,1,2,37.6160063,127.0828472
묵동자이2단지 아파트,1,2,37.6042971,127.0780346
브라운스톤태릉 아파트,1,0,37.6182884,127.0827445
상봉우정 아파트,1,1,37.6000755,127.0903115
신내7단지진로아파트,1,1,37.6141059,127.093292
신내LG쌍용아파트,1,1,37.6033076,127.0840728
신내건영1차 아파트,0,1,37.599197,127.092752
신내우디안1단지,1,2,37.6126681,127.1032127
신내테크노타운,1,0,37.6039961,127.0877748
중랑숲리가 아파트,1,2,37.6013515,127.1044773
중랑해모로 아파트,0,2,37.6051658,127.1072829
태릉시장 중화공영주차장,2,0,37.5952044,127.0777642
한일써너스빌 아파트,1,1,37.5968626,127.091275
