설치장소,급속충전기(대),완속충전기(대),위도,경도
공덕파크자이1단지,0,2,37.54686969999999,126.9521717
공덕파크자이2단지,0,1,37.54686969999999,126.9521717
대명 아파트,0,1,37.5621719,126.9238438
래미안마포리버웰,1,3,37.542319,126.943065
래미안밤섬리베뉴1 아파트,1,2,37.5464106,126.9260721
래미안밤섬리베뉴2,1,3,37.5464106,126.9260721
롯데캐슬프레지던트,0,1,37.54686969999999,126.9521717
마포대림1차 아파트,0,2,37.5405569,126.9415027
마포도화우성아파트,1,1,37.5381196,126.9475889
마포래미안푸르지오 1단지,1,3,37.5541171,126.9569379
마포래미안푸르지오 2단지,1,4,37.5541171,126.9569379
마포래미안푸르지오 3단지,1,3,37.5541171,126.9569379
마포래미안푸르지오 4단지,1,4,37.5541171,126.9569379
마포용산지사,2,5,37.5417324,126.9464165
마포자이2차아파트,1,0,37.5498977,126.9427769
마포중앙도서관,2,0,37.5633288,126.9078837
마포트라팰리스2차,0,2,37.5521804,126.9554999
마포한강2차 푸르지오아파트,0,5,37.5463089,126.9101219
마포한강푸르지오1차,0,3,37.5495927,126.9121968
메세나폴리스 아파트,1,3,37.5489656,126.9134767
브라운스톤공덕 아파트,0,2,37.54459170000001,126.9557029
상암월드컵경기장,7,3,37.5647929,126.8958663
상암월드컵파크3단지,1,2,37.5593963,126.9058128
서울서부지방검찰청,1,0,37.549353,126.9556005
서울신용보증재단,1,0,37.5490808,126.953969
성지(주상복합) 아파트,0,2,37.5430413,126.942953
신공덕3삼성래미안,0,2,37.5465829,126.9570111
신촌포스빌,1,1,37.556221,126.942077
쌍용황금,1,0,37.5368623,126.9435802
중부전력지사,0,2,37.5443314,126.9166854
창전삼성 아파트,1,0,37.5492914,126.9321631
한강삼성 아파트,1,1,37.540264,126.9410053
DMC래미안e편한세상,1,4,37.5784186,126.9099561
DMC센트럴아이파크아파트,0,6,37.5743455,126.9188972
DMC아이파크 아파트,1,0,37.5781635,126.9134291
남가좌삼성 아파트,1,1,37.5779294,126.916629
돈의문센트레빌 아파트,1,1,37.5661135,126.9615707
무악청구2차 아파트,0,1,37.58551120000001,126.9489831
서부수도사업소,3,0,37.5829367,126.9523893
연세대학교,3,0,37.564089,126.9389809
연세세브란스 에비슨의생명 연구센터,2,0,37.564089,126.9389809
연희대우 아파트,0,3,37.5615698,126.929415
연희동성원아파트,1,0,37.5759969,126.9387689
인왕산한신휴플러스,0,2,37.58551120000001,126.9489831
홍은1동 제4공영주차장,1,0,37.6009329,126.9483277
LH서초4단지 아파트,0,2,37.4651959,127.0164423
LH서초5단지,1,2,37.458409,127.0241444
강남전력지사,0,1,37.4856225,127.0280556
구룡공원 공영주차장,1,0,37.4715926,127.0484805
국립 중앙도서관,2,0,37.5031833,127.0079167
남서울농협 하나로마트 우면점,1,0,37.4651959,127.0164423
대한무역투자진흥공사,2,0,37.4652432,127.0449493
동산마을 공영주차장,1,0,37.4700505,127.0443014
래미안서초7차 아파트,0,2,37.4919742,127.0175109
래미안서초스위트 아파트,1,2,37.5021291,127.0204507
롯데캐슬헤론,1,2,37.4969267,126.984625
리첸시아방배,0,2,37.4973099,126.9857055
반포동방음언덕형 공영주차장,1,0,37.5047637,127.0185988
반포리체 아파트,1,4,37.50357229999999,127.0134864
