자치구,동,인구수,여자,남자
관악구,난곡동,27104,13576,13528
관악구,삼성동,21393,10673,10720
관악구,미성동,31037,15203,15834
서초구,서초1동,20815,10013,10802
서초구,서초2동,26878,12849,14029
서초구,서초3동,32700,15641,17059
서초구,서초4동,30936,15099,15837
서초구,잠원동,26853,12905,13948
서초구,반포본동,696,330,366
서초구,반포1동,34894,16929,17965
서초구,반포2동,15858,7543,8315
서초구,반포3동,22155,10535,11620
서초구,반포4동,19791,9337,10454
서초구,방배본동,20995,9704,11291
서초구,방배1동,16944,7941,9003
서초구,방배2동,18992,8906,10086
서초구,방배3동,18802,9087,9715
서초구,방배4동,23700,10784,12916
서초구,양재1동,43152,20619,22533
서초구,양재2동,22037,10995,11042
서초구,내곡동,17479,8448,9031
강남구,신사동,16116,7479,8637
강남구,논현1동,22583,10604,11979
강남구,논현2동,21300,9946,11354
강남구,삼성1동,13059,6467,6592
강남구,삼성2동,31130,14934,16196
강남구,대치1동,24031,12059,11972
강남구,대치4동,19914,9409,10505
강남구,역삼1동,36431,17668,18763
강남구,역삼2동,36288,17020,19268
강남구,도곡1동,21566,10219,11347
강남구,도곡2동,33140,15425,17715
강남구,개포1동,6982,3388,3594
강남구,개포4동,23790,11498,12292
강남구,일원본동,23172,11455,11717
강남구,일원1동,15180,7395,7785
강남구,일원2동,17563,8488,9075
강남구,수서동,14726,6662,8064
강남구,세곡동,43213,20356,22857
강남구,압구정동,26315,12204,14111
강남구,청담동,25723,12032,13691
강남구,대치2동,36876,18679,18197
강남구,개포2동,28240,13709,14531
송파구,풍납1동,13298,6522,6776
송파구,풍납2동,24856,11792,13064
송파구,거여1동,12454,6260,6194
송파구,거여2동,22819,11211,11608
송파구,마천1동,18909,9649,9260
송파구,마천2동,18597,9476,9121
송파구,방이1동,15662,7564,8098
송파구,방이2동,26971,12506,14465
송파구,오륜동,17944,8755,9189
송파구,오금동,38366,18613,19753
송파구,송파1동,24135,11285,12850
송파구,송파2동,19279,9290,9989
