,상호명,위도,경도,행정동
90,스타일난다 핑크 호텔 (명동 플래그십 스토어),37.56193641120608,126.98529524208892,충무로2가
91,상생상회,37.576042205536,126.983825338188,안국동
92,롯데백화점 본점,37.564905601247865,126.98175414832635,소공동
94,문정동 로데오거리,37.4898756388539,127.123364097715,문정동
95,뚝섬 아름다운 나눔장터,37.5296012161776,127.073188834241,자양3동
97,Addicted,37.5257183009046,127.037825622139,신사동
99,라뷰티코아 청담 세이엇데이점,37.5254108686649,127.041092602451,청담동
101,새김소리,37.5734727864295,126.985501263233,관훈동
103,강남역 지하쇼핑센터,37.49808633653005,127.02800140627488,역삼동
104,이영애화장품 삼청동하우스,37.5816423742922,126.981066258088,팔판동
105,남성사계시장,37.488406745823,126.98063300359,사당동
106,망원시장,37.5562395487368,126.90562827497,망원동
107,젠틀몬스터 홍대 플래그십스토어,37.5498485152532,126.919916606921,서교동
109,마리오아울렛,37.4787528096286,126.886643952852,가산동
113,갤러리아백화점 EAST,37.52797664522159,127.0418814074669,압구정동
114,어라운드더코너 가로수길점,37.52234165805619,127.02247760640724,신사동
115,용산전자랜드,37.5329472681101,126.960138744633,한강로3가
116,엔터식스 왕십리점,37.561703921452,127.038735688303,행당동
117,우연수집,37.5545397930578,126.977474247961,후암동
118,젠틀몬스터 신사 플래그쉽 스토어,37.5221074728979,127.022077080808,신사동
119,가락몰,37.4950514206204,127.115850389752,가락동
121,영천시장,37.5703284466099,126.961852991914,영천동
122,더현대서울,37.525872071029134,126.92844612411159,여의도동
123,서울 중앙시장,37.56737408602461,127.01976321851687,황학동
126,동대문역 창신동 완구 도매 시장,37.57123111690101,127.01444849541853,창신동
127,타임스퀘어,37.5174496335566,126.903331121684,영등포동4가
128,두타(DOOTA),37.568750340187734,127.00868533599005,을지로6가
129,홍대앞 예술시장 프리마켓,37.5522465823191,126.923403025643,서교동
130,종오지하쇼핑센터,37.57088953274586,127.00005886229495,종로4가
131,소공 지하쇼핑센터,37.5644692445028,126.980056449689,소공동
132,회현지하쇼핑센터,37.5605808390375,126.981891020353,충무로1가
133,서울약령시장,37.5783981751522,127.036824325922,제기동
135,동대문 헌책방 거리,37.5695485930325,127.009073686472,을지로6가
136,명동 M플라자,37.5625022206325,126.985163837409,명동2가
139,용산전자상가,37.5329472681101,126.960138744633,한강로3가
140,낙원악기상가,37.5721035404676,126.987862850589,낙원동
141,롯데 영플라자 명동점,37.56351445812219,126.98172279565257,남대문로2가
144,광희패션몰,37.5686725757815,127.011885303402,신당동
145,한사토이,37.51401684559573,127.10506857715367,신천동
146,아티지 (ARTAGE),37.5265663427584,127.034219475245,신사동
147,에이바이봄,37.5242068259933,127.041956225775,청담동
148,카카오프렌즈 홍대 플래그십 스토어,37.5563194254356,126.923919460392,동교동
149,커먼그라운드,37.54105555235208,127.0656686600397,자양동
150,더 피커,37.5479293603116,127.044177308783,성수동1가
151,쌈지길,37.5743520602942,126.984731319433,관훈동
152,아모레 플래그십 스토어 (성수),37.5445477220243,127.059040730967,성수동2가
