순번,종류,번호,가로시설물,설치일,공사구분,공사날짜,공사내용,이력변경,좌표(Poi_X),좌표(Poi_Y),전원투입,행정구,지번 주소,도로명 주소,위치명
75,쉘터형 택시 승차대,L-14,표준형TS,2011-05-29,,,,,126.94341,37.50525,OK,동작구,노량진2동 26,상도로31길 19,브라운스톤상도아파트 101동 앞
76,쉘터형 택시 승차대,L-17,표준형TS,2015-06-12,,,,,126.96035,37.50794,OK,동작구,흑석동 224-1,흑석로 102,노량진역2번출구앞
77,쉘터형 택시 승차대,L-18,표준형TS,2015-10-02,,,,,126.9058,37.4879,,동작구,신대방동 719,신대방1가길 38,동작쌍떼빌오피스텔앞
78,쉘터형 택시 승차대,M-03,표준형TS,2011-10-11,,,,,126.95232,37.54567,,마포구,공덕동 254-5,마포대로 122,신용보증기금 마포지점 앞
79,쉘터형 택시 승차대,M-05,표준형TS,2011-10-06,,,,,126.95558,37.55149,OK,마포구,아현동 737,마포대로 204,마포SK허브 빌딩 앞
80,쉘터형 택시 승차대,M-07,표준형TS,2011-10-05,,,,,126.91033,37.55583,,마포구,도화동 559,마포대로 53,트라팰리스빌딩 앞
81,쉘터형 택시 승차대,M-15,표준형TS,2011-10-10,,,,,126.916842,37.548259,OK,마포구,합정동 412-28,독막로 31,주식회사 메칸더브이 앞(혜당한방병원 건너)
82,쉘터형 택시 승차대,M-20,표준형TS,2011-10-10,,,,,126.935033,37.553863,OK,마포구,노고산동 109-125,서강로 18길 2,신의주 찹쌀순대점 앞
83,쉘터형 택시 승차대,M-21,표준형TS,2011-10-10,,,,,126.93462,37.55395,OK,마포구,노고산동 57,서강로 133,아이스페이스 빌딩 앞(하나은행 신촌지점 좌측)
84,쉘터형 택시 승차대,M-22,표준형TS,2011-10-10,,,,,126.927844,37.558135,OK,마포구,동교동 174-11,신촌로 12,동우빌딩 앞(키움참치 홍대점)
85,쉘터형 택시 승차대,M-23,표준형TS,2011-10-11,,,,,126.90607,37.56037,OK,마포구,망원동 478-4,월드컵로 137,홍반장감자탕전문점 앞
86,쉘터형 택시 승차대,M-24,표준형TS,2011-10-07,,,,,126.95017,37.5445,OK,마포구,공덕동 423-33,마포대로 109,마포롯데캐슬 앞(공덕역 2번출구 방향)
87,쉘터형 택시 승차대,M-25,표준형TS,2011-10-05,,,,,126.9484,37.54153,OK,마포구,도화동 169,마포대로 58,서울가든호텔 앞
88,쉘터형 택시 승차대,M-27,표준형TS,2011-10-06,,,,,126.91033,37.55583,OK,마포구,서교동 441-15,월드컵로 80,망원역 1번출구 앞
89,쉘터형 택시 승차대,N-02,표준형TS,2015-08-27,,,,,126.93602,37.56024,,서대문구,창천동 83-60,연세로 50,연세대 공학원 앞
90,쉘터형 택시 승차대,N-04,표준형TS,2011-05-16,,,,,126.9648,37.56353,OK,서대문구,충정로2가 164-33,충정로 53,골든타워(국민은행서대문지점)
91,쉘터형 택시 승차대,N-05,표준형TS,2011-04-23,,,,,126.96783,37.56439,OK,서대문구,미근동 197,통일로 105,경찰청 우측
92,쉘터형 택시 승차대,N-06,표준형TS,2011-04-24,,,,,126.93614,37.58131,OK,서대문구,홍은3동 274-82,연희로 271,서서울농협 홍은지점 앞
93,쉘터형 택시 승차대,N-07,표준형TS,2002-01-01,교체,2021-05-24,21년도 택시승차대 5단계 개선정비,5월 교체,126.94256,37.56237,,서대문구,신촌동 134,연세로 50,연세동문회관 앞
94,쉘터형 택시 승차대,N-10,표준형TS,2011-05-14,,,,,126.95073,37.58178,,서대문구,연희동 137-5,연희로 103,신라빌딩별관 앞(KEB외환은행 연희동지점)
95,쉘터형 택시 승차대,N-14,표준형TS,2011-04-24,,,,,126.96382,37.56197,,서대문구,충정로3가 139,충정로 29,도시기반시설본부 앞
96,쉘터형 택시 승차대,P-01,TS,2002-01-01,,,,,127.00394,37.50118,,서초구,반포동 123,반포대로 222,카톨릭대학교 서울성모병원 앞
97,쉘터형 택시 승차대,P-02,표준형TS,2002-01-01,이설,2017-04-10,교통간섭 민원(전방이설 및 표준형교체),4월 이설,126.9413,37.4706,OK,서초구,반포동 707-11,강남대로 519,삼전빌딩 앞(논현역 3번출구 방향)
98,쉘터형 택시 승차대,P-07,표준형TS,2002-01-01,이설,2021-03-29,자치구 교통간섭 사유/이설(후방 300mm),3월 이설,126.982434,37.487656,OK,서초구,방배동 1763,동작대로 126,김창숙부띠끄 앞
