행정구역코드,시도명,시군구명,읍면동명,평일주말구분,혼잡빈도강도
1111072,서울특별시,노원구,상계8동,평일,90.86
1111073,서울특별시,노원구,상계9동,평일,72.34
1111074,서울특별시,노원구,상계10동,평일,76.39
1111076,서울특별시,노원구,상계3·4동,평일,40.16
1111077,서울특별시,노원구,상계6·7동,평일,81.64
1111078,서울특별시,노원구,중계2·3동,평일,58.42
1111079,서울특별시,노원구,공릉1동,평일,62.67
1112051,서울특별시,은평구,녹번동,평일,25.62
1112052,서울특별시,은평구,불광1동,평일,33.56
1112055,서울특별시,은평구,갈현1동,평일,92.51
1112056,서울특별시,은평구,갈현2동,평일,67.19
1112057,서울특별시,은평구,구산동,평일,47.11
1112058,서울특별시,은평구,대조동,평일,49.03
1112059,서울특별시,은평구,응암1동,평일,33.29
1112060,서울특별시,은평구,응암2동,평일,48.53
1112065,서울특별시,은평구,신사1동,평일,73.66
1112066,서울특별시,은평구,신사2동,평일,99.83
1112067,서울특별시,은평구,증산동,평일,84.7
1112068,서울특별시,은평구,수색동,평일,31.05
1112071,서울특별시,은평구,진관동,평일,70.6
1112072,서울특별시,은평구,불광2동,평일,69.47
1112073,서울특별시,은평구,응암3동,평일,41.1
1112074,서울특별시,은평구,역촌동,평일,71.51
1113052,서울특별시,서대문구,천연동,평일,85.82
1113062,서울특별시,서대문구,홍제1동,평일,45.01
1113064,서울특별시,서대문구,홍제3동,평일,65.51
1113065,서울특별시,서대문구,홍제2동,평일,28.43
1113066,서울특별시,서대문구,홍은1동,평일,42.45
1113068,서울특별시,서대문구,홍은2동,평일,61.46
1113069,서울특별시,서대문구,남가좌1동,평일,30.69
1113070,서울특별시,서대문구,남가좌2동,평일,64.21
1113071,서울특별시,서대문구,북가좌1동,평일,46.1
1113072,서울특별시,서대문구,북가좌2동,평일,55.76
1113073,서울특별시,서대문구,충현동,평일,62.21
1113074,서울특별시,서대문구,북아현동,평일,99.87
1113075,서울특별시,서대문구,신촌동,평일,95.04
1113076,서울특별시,서대문구,연희동,평일,74.45
1114059,서울특별시,마포구,용강동,평일,85.14
1114060,서울특별시,마포구,대흥동,평일,63.16
1114061,서울특별시,마포구,염리동,평일,47.69
1114063,서울특별시,마포구,신수동,평일,70.76
1114066,서울특별시,마포구,서교동,평일,76.52
1114068,서울특별시,마포구,합정동,평일,83.99
1114069,서울특별시,마포구,망원1동,평일,87.45
1114070,서울특별시,마포구,망원2동,평일,89.36
1114071,서울특별시,마포구,연남동,평일,50.73
1114072,서울특별시,마포구,성산1동,평일,55.86
1114073,서울특별시,마포구,성산2동,평일,60.65
1114074,서울특별시,마포구,상암동,평일,40.8
1114075,서울특별시,마포구,도화동,평일,91.44
1114076,서울특별시,마포구,서강동,평일,65.95
1114077,서울특별시,마포구,공덕동,평일,59.22
1114078,서울특별시,마포구,아현동,평일,95.42
1115051,서울특별시,양천구,목1동,평일,27.29
1115052,서울특별시,양천구,목2동,평일,60.12
1115053,서울특별시,양천구,목3동,평일,43.37
1115054,서울특별시,양천구,목4동,평일,39.92
1115057,서울특별시,양천구,신월1동,평일,30.35
1115058,서울특별시,양천구,신월2동,평일,33.43
1115059,서울특별시,양천구,신월3동,평일,37.09
1115060,서울특별시,양천구,신월4동,평일,25.66
1115061,서울특별시,양천구,신월5동,평일,43.77
1115062,서울특별시,양천구,신월6동,평일,30.56
1115063,서울특별시,양천구,신월7동,평일,35.89
1115064,서울특별시,양천구,신정1동,평일,43
1115065,서울특별시,양천구,신정2동,평일,33.79
1115066,서울특별시,양천구,신정3동,평일,22.76
1115069,서울특별시,양천구,신정6동,평일,25.75
1115070,서울특별시,양천구,신정7동,평일,43.02
1115071,서울특별시,양천구,목5동,평일,23.8
1115072,서울특별시,양천구,신정4동,평일,26.59
1116051,서울특별시,강서구,염창동,평일,69.66
1116052,서울특별시,강서구,등촌1동,평일,79.89
1116053,서울특별시,강서구,등촌2동,평일,73.44
1116054,서울특별시,강서구,등촌3동,평일,69.57
1116055,서울특별시,강서구,화곡본동,평일,26.81
1116057,서울특별시,강서구,화곡2동,평일,13.67
1116058,서울특별시,강서구,화곡3동,평일,41.49
1116059,서울특별시,강서구,화곡4동,평일,23.01
1116061,서울특별시,강서구,화곡6동,평일,43.69
1116063,서울특별시,강서구,화곡8동,평일,50.22
1116064,서울특별시,강서구,가양1동,평일,53.21
1116065,서울특별시,강서구,가양2동,평일,58.41
1116066,서울특별시,강서구,가양3동,평일,34.68
1116067,서울특별시,강서구,발산1동,평일,34.19
1116069,서울특별시,강서구,공항동,평일,51.22
1116070,서울특별시,강서구,방화1동,평일,61.1
1116071,서울특별시,강서구,방화2동,평일,69.09
1116072,서울특별시,강서구,방화3동,평일,40.05
1116073,서울특별시,강서구,화곡1동,평일,33.61
1116074,서울특별시,강서구,우장산동,평일,43.4
1117051,서울특별시,구로구,신도림동,평일,76.83
1117052,서울특별시,구로구,구로1동,평일,41.7
1117054,서울특별시,구로구,구로3동,평일,41.31
1117055,서울특별시,구로구,구로4동,평일,30.01
1117056,서울특별시,구로구,구로5동,평일,29.53
1117061,서울특별시,구로구,고척1동,평일,45.45
1117062,서울특별시,구로구,고척2동,평일,44.16
1117064,서울특별시,구로구,개봉2동,평일,19.8
1117065,서울특별시,구로구,개봉3동,평일,38.38
1117067,서울특별시,구로구,오류1동,평일,91.06
1117068,서울특별시,구로구,오류2동,평일,36.54
1117069,서울특별시,구로구,수궁동,평일,35.37
1117070,서울특별시,구로구,가리봉동,평일,34.6
1117071,서울특별시,구로구,구로2동,평일,64.21
1117072,서울특별시,구로구,개봉1동,평일,56.42
1118051,서울특별시,금천구,가산동,평일,62.09
1118052,서울특별시,금천구,독산1동,평일,59.03
1118053,서울특별시,금천구,독산2동,평일,36.04
1118054,서울특별시,금천구,독산3동,평일,37.05
1118055,서울특별시,금천구,독산4동,평일,50.99
1118057,서울특별시,금천구,시흥1동,평일,84.09
1118058,서울특별시,금천구,시흥2동,평일,22.92
1118059,서울특별시,금천구,시흥3동,평일,87.58
1118060,서울특별시,금천구,시흥4동,평일,58.07
1118061,서울특별시,금천구,시흥5동,평일,32.51
