,시군구명,읍면동명,혼잡시간강도
279,금천구,독산3동,61.93
280,금천구,독산4동,81.03
281,금천구,시흥1동,91.72
282,금천구,시흥2동,39.63
283,금천구,시흥3동,92.26
284,금천구,시흥4동,73.43
285,금천구,시흥5동,46.92
286,영등포구,여의동,66.31
287,영등포구,당산1동,71.56
288,영등포구,당산2동,59.81
289,영등포구,양평1동,84.05
290,영등포구,양평2동,83.68
291,영등포구,신길1동,46.55
292,영등포구,신길3동,66.98
293,영등포구,신길4동,59.81
294,영등포구,신길5동,62.01
295,영등포구,신길6동,64.72
296,영등포구,신길7동,54.37
297,영등포구,대림1동,71.38
298,영등포구,대림2동,63.75
299,영등포구,대림3동,64.07
300,영등포구,영등포본동,57.15
301,영등포구,영등포동,75.93
302,영등포구,도림동,49.94
303,영등포구,문래동,71.15
304,동작구,노량진2동,41.77
305,동작구,상도1동,61.39
306,동작구,상도2동,74.61
307,동작구,상도3동,72.59
308,동작구,상도4동,54.03
309,동작구,사당1동,64.54
310,동작구,사당3동,48.32
311,동작구,사당4동,74.38
312,동작구,사당5동,74.26
313,동작구,대방동,54.19
314,동작구,신대방1동,41.17
315,동작구,신대방2동,65.79
316,동작구,흑석동,80.64
317,동작구,노량진1동,51.6
318,동작구,사당2동,66.59
319,관악구,보라매동,74.02
320,관악구,청림동,43.23
321,관악구,행운동,62.97
322,관악구,낙성대동,67.26
323,관악구,중앙동,69.57
324,관악구,남현동,60.0
325,관악구,서원동,74.09
326,관악구,신원동,68.51
327,관악구,서림동,63.4
328,관악구,신사동,57.38
329,관악구,신림동,62.25
330,관악구,난향동,50.5
331,관악구,조원동,47.06
332,관악구,대학동,53.1
333,관악구,은천동,55.6
334,관악구,성현동,64.09
335,관악구,청룡동,59.72
336,관악구,난곡동,57.81
337,관악구,삼성동,46.82
338,관악구,미성동,57.52
339,관악구,인헌동,59.74
340,서초구,서초1동,79.44
341,서초구,서초2동,79.61
342,서초구,서초3동,66.83
343,서초구,서초4동,84.55
344,서초구,잠원동,80.12
345,서초구,반포본동,74.17
346,서초구,반포1동,80.12
347,서초구,반포2동,70.36
348,서초구,반포3동,83.81
349,서초구,반포4동,69.84
350,서초구,방배본동,61.69
351,서초구,방배1동,66.01
352,서초구,방배2동,55.35
353,서초구,방배3동,53.88
354,서초구,방배4동,76.84
355,서초구,양재1동,77.61
356,서초구,양재2동,79.8
357,서초구,내곡동,48.4
358,강남구,신사동,75.51
359,강남구,논현1동,75.11
360,강남구,논현2동,67.63
361,강남구,삼성1동,80.06
362,강남구,삼성2동,70.53
363,강남구,대치1동,59.11
364,강남구,대치4동,76.5
365,강남구,역삼1동,74.29
366,강남구,역삼2동,71.43
367,강남구,도곡1동,66.28
368,강남구,도곡2동,61.07
369,강남구,개포1동,90.25
370,강남구,개포4동,72.94
371,강남구,일원본동,48.79
372,강남구,일원1동,62.11
373,강남구,일원2동,70.9
374,강남구,수서동,77.66
375,강남구,세곡동,62.01
376,강남구,압구정동,76.57
377,강남구,청담동,86.38
378,강남구,대치2동,82.73
379,강남구,개포2동,73.01
380,송파구,풍납1동,82.58
381,송파구,풍납2동,55.02
382,송파구,거여1동,85.82
383,송파구,거여2동,65.31
384,송파구,마천1동,76.17
385,송파구,마천2동,70.45
386,송파구,방이1동,41.56
387,송파구,방이2동,62.81
388,송파구,오륜동,46.47
389,송파구,오금동,58.73
390,송파구,송파1동,91.87
391,송파구,송파2동,62.36
392,송파구,석촌동,65.81
393,송파구,삼전동,40.88
394,송파구,가락본동,78.06
395,송파구,가락1동,51.32
396,송파구,가락2동,62.32
397,송파구,문정1동,89.86
398,송파구,문정2동,69.56
399,송파구,잠실본동,55.86
400,송파구,잠실4동,56.69
401,송파구,잠실6동,74.37
402,송파구,잠실7동,54.32
403,송파구,잠실2동,67.12
404,송파구,잠실3동,74.8
405,송파구,장지동,87.35
406,송파구,위례동,83.29
407,강동구,강일동,82.21
408,강동구,상일동,79.04
409,강동구,명일1동,77.82
410,강동구,명일2동,61.91
411,강동구,고덕1동,41.81
412,강동구,고덕2동,66.89
413,강동구,암사2동,60.07
414,강동구,암사3동,49.78
415,강동구,천호1동,86.66
416,강동구,천호3동,96.94
417,강동구,성내1동,52.12
418,강동구,성내2동,73.55
419,강동구,성내3동,60.59
420,강동구,둔촌1동,48.73
421,강동구,둔촌2동,54.4
422,강동구,암사1동,68.03
423,강동구,천호2동,59.84
424,강동구,길동,85.7
