동,인구수,여자,남자,혼잡빈도강도
방화3동,22790,11026,11764,40.05
화곡1동,52820,25602,27218,33.61
우장산동,42995,20552,22443,43.4
신도림동,36339,17634,18705,76.83
구로1동,21132,10345,10787,41.7
구로3동,25194,12977,12217,41.31
구로4동,23580,11690,11890,30.01
구로5동,32012,15626,16386,29.53
고척1동,22389,11139,11250,45.45
고척2동,26993,13358,13635,44.16
개봉2동,31144,15160,15984,19.8
개봉3동,20602,10020,10582,38.38
오류1동,23064,11166,11898,91.06
수궁동,23656,11664,11992,35.37
가리봉동,13060,7403,5657,34.6
구로2동,30908,15876,15032,64.21
개봉1동,34433,17144,17289,56.42
오류2동,38917,18734,20183,36.54
가산동,26363,14337,12026,62.09
독산1동,47111,24184,22927,59.03
독산2동,20112,10217,9895,36.04
독산3동,27629,14013,13616,37.05
독산4동,16676,8387,8289,50.99
시흥1동,34402,17113,17289,84.09
시흥2동,21209,10185,11024,22.92
시흥3동,10890,5395,5495,87.58
시흥4동,20904,10327,10577,58.07
시흥5동,19605,9801,9804,32.51
여의동,33222,15600,17622,49.56
당산1동,20728,10134,10594,37.76
당산2동,37960,17781,20179,40.92
양평1동,18624,9061,9563,67.57
양평2동,22432,10969,11463,73.42
신길1동,18747,9581,9166,23.72
신길3동,17546,8714,8832,36.88
신길4동,13095,6558,6537,35.2
신길5동,11521,5656,5865,36.13
신길6동,19826,9725,10101,35.38
신길7동,20126,10024,10102,27.41
대림1동,16934,8571,8363,44.43
대림2동,18016,9250,8766,42.01
대림3동,25744,12959,12785,32.13
영등포본동,23081,11852,11229,32.86
영등포동,30091,15628,14463,53.47
도림동,19816,9992,9824,28.35
문래동,32732,16025,16707,57.73
노량진2동,11380,5859,5521,19.12
상도1동,45781,22080,23701,32.93
상도2동,28195,13495,14700,46.87
상도3동,24726,11784,12942,38.93
상도4동,28917,14001,14916,31.86
사당1동,23268,11106,12162,35.53
사당3동,24532,11903,12629,25.43
사당4동,14350,6861,7489,45.02
사당5동,14543,6967,7576,57.35
대방동,38151,18090,20061,31.5
신대방1동,24838,11983,12855,26.07
신대방2동,22223,10599,11624,36.41
흑석동,32996,15812,17184,67.48
노량진1동,32215,16142,16073,33.37
사당2동,28534,13695,14839,41.01
보라매동,24927,12225,12702,44.32
청림동,15135,7329,7806,14.53
행운동,29569,14299,15270,32.65
낙성대동,17606,8792,8814,36.08
중앙동,15681,7499,8182,40.45
남현동,18259,8793,9466,36.36
서원동,23435,12095,11340,46.44
신원동,18752,9450,9302,52.07
서림동,23849,13056,10793,39.49
신사동,24955,12468,12487,30.33
신사동,24955,12468,12487,52.46
신사동,16116,7479,8637,30.33
신사동,16116,7479,8637,52.46
신림동,23515,12360,11155,33.06
난향동,15332,7495,7837,28.21
조원동,18874,9508,9366,25.97
대학동,25186,14855,10331,25.04
은천동,33540,16357,17183,27.44
성현동,29161,14053,15108,42.03
청룡동,36789,17647,19142,29.0
난곡동,27104,13576,13528,30.14
삼성동,21393,10673,10720,34.81
미성동,31037,15203,15834,33.94
서초1동,20815,10013,10802,61.66
서초2동,26878,12849,14029,64.21
서초3동,32700,15641,17059,37.0
서초4동,30936,15099,15837,69.72
잠원동,26853,12905,13948,60.06
반포본동,696,330,366,58.98
반포1동,34894,16929,17965,57.12
반포2동,15858,7543,8315,49.22
반포3동,22155,10535,11620,67.62
반포4동,19791,9337,10454,40.68
방배본동,20995,9704,11291,39.6
방배1동,16944,7941,9003,43.23
방배2동,18992,8906,10086,29.96
방배3동,18802,9087,9715,21.93
방배4동,23700,10784,12916,49.34
양재1동,43152,20619,22533,66.62
양재2동,22037,10995,11042,66.39
내곡동,17479,8448,9031,29.78
논현1동,22583,10604,11979,43.73
논현2동,21300,9946,11354,34.75
삼성1동,13059,6467,6592,62.94
삼성2동,31130,14934,16196,38.17
대치1동,24031,12059,11972,29.18
대치4동,19914,9409,10505,44.24
역삼1동,36431,17668,18763,42.05
역삼2동,36288,17020,19268,40.63
도곡1동,21566,10219,11347,34.69
도곡2동,33140,15425,17715,29.94
개포1동,6982,3388,3594,82.86
개포4동,23790,11498,12292,56.4
일원본동,23172,11455,11717,24.07
일원1동,15180,7395,7785,45.89
일원2동,17563,8488,9075,57.15
수서동,14726,6662,8064,63.78
세곡동,43213,20356,22857,44.66
압구정동,26315,12204,14111,54.33
청담동,25723,12032,13691,71.14
대치2동,36876,18679,18197,69.3
개포2동,28240,13709,14531,65.63
풍납1동,13298,6522,6776,71.78
풍납2동,24856,11792,13064,41.0
거여1동,12454,6260,6194,76.52
거여2동,22819,11211,11608,43.73
마천1동,18909,9649,9260,57.58
마천2동,18597,9476,9121,44.04
방이1동,15662,7564,8098,19.91
방이2동,26971,12506,14465,34.15
오륜동,17944,8755,9189,21.19
오금동,38366,18613,19753,29.81
송파1동,24135,11285,12850,83.08
송파2동,19279,9290,9989,44.11
석촌동,32025,15239,16786,44.05
삼전동,30441,14232,16209,23.32
가락본동,26317,13039,13278,56.95
가락1동,27548,13356,14192,33.17
가락2동,31946,15634,16312,31.93
문정1동,20125,9955,10170,76.22
문정2동,29061,13293,15768,54.25
잠실본동,28386,13504,14882,30.2
잠실4동,21362,10269,11093,28.34
잠실6동,16870,8004,8866,59.35
잠실7동,9536,4444,5092,25.28
잠실2동,34989,16724,18265,48.0
잠실3동,34347,16379,17968,55.4
장지동,29471,14225,15246,79.75
위례동,42547,20743,21804,66.81
명일1동,25884,12593,13291,56.13
명일2동,17520,8573,8947,46.55
고덕1동,24074,12268,11806,22.1
고덕2동,22545,11380,11165,55.85
암사2동,15201,7351,7850,47.5
암사3동,17838,8746,9092,38.77
천호1동,26920,13185,13735,74.59
천호3동,26845,13044,13801,93.23
성내1동,20068,9652,10416,24.9
성내2동,23973,11802,12171,52.57
성내3동,23235,11359,11876,45.2
둔촌1동,143,79,64,21.4
둔촌2동,24641,12123,12518,28.98
암사1동,34643,17157,17486,39.04
천호2동,33671,16467,17204,42.78
길동,45863,22374,23489,73.79
강일동,32947,15789,17158,70.85
