시군구명,동,혼잡빈도강도
관악구,청림동,14.53
관악구,행운동,32.65
관악구,낙성대동,36.08
관악구,중앙동,40.45
관악구,남현동,36.36
관악구,서원동,46.44
관악구,신원동,52.07
관악구,서림동,39.49
관악구,신사동,30.33
관악구,신림동,33.06
관악구,난향동,28.21
관악구,조원동,25.97
관악구,대학동,25.04
관악구,은천동,27.44
관악구,성현동,42.03
관악구,청룡동,29.0
관악구,난곡동,30.14
관악구,삼성동,34.81
관악구,미성동,33.94
서초구,서초1동,61.66
서초구,서초2동,64.21
서초구,서초3동,37.0
서초구,서초4동,69.72
서초구,잠원동,60.06
서초구,반포본동,58.98
서초구,반포1동,57.12
서초구,반포2동,49.22
서초구,반포3동,67.62
서초구,반포4동,40.68
서초구,방배본동,39.6
서초구,방배1동,43.23
서초구,방배2동,29.96
서초구,방배3동,21.93
서초구,방배4동,49.34
서초구,양재1동,66.62
서초구,양재2동,66.39
서초구,내곡동,29.78
강남구,신사동,52.46
강남구,논현1동,43.73
강남구,논현2동,34.75
강남구,삼성1동,62.94
강남구,삼성2동,38.17
강남구,대치1동,29.18
강남구,대치4동,44.24
강남구,역삼1동,42.05
강남구,역삼2동,40.63
강남구,도곡1동,34.69
강남구,도곡2동,29.94
강남구,개포1동,82.86
강남구,개포4동,56.4
강남구,일원본동,24.07
강남구,일원1동,45.89
강남구,일원2동,57.15
강남구,수서동,63.78
강남구,세곡동,44.66
강남구,압구정동,54.33
강남구,청담동,71.14
강남구,대치2동,69.3
강남구,개포2동,65.63
송파구,풍납1동,71.78
송파구,풍납2동,41.0
송파구,거여1동,76.52
송파구,거여2동,43.73
송파구,마천1동,57.58
송파구,마천2동,44.04
송파구,방이1동,19.91
송파구,방이2동,34.15
송파구,오륜동,21.19
송파구,오금동,29.81
송파구,송파1동,83.08
송파구,송파2동,44.11
송파구,석촌동,44.05
송파구,삼전동,23.32
송파구,가락본동,56.95
송파구,가락1동,33.17
송파구,가락2동,31.93
송파구,문정1동,76.22
송파구,문정2동,54.25
송파구,잠실본동,30.2
송파구,잠실4동,28.34
송파구,잠실6동,59.35
송파구,잠실7동,25.28
송파구,잠실2동,48.0
송파구,잠실3동,55.4
송파구,장지동,79.75
송파구,위례동,66.81
강동구,강일동,70.85
강동구,상일동,59.97
강동구,명일1동,56.13
강동구,명일2동,46.55
강동구,고덕1동,22.1
강동구,고덕2동,55.85
강동구,암사2동,47.5
강동구,암사3동,38.77
강동구,천호1동,74.59
강동구,천호3동,93.23
강동구,성내1동,24.9
강동구,성내2동,52.57
강동구,성내3동,45.2
강동구,둔촌1동,21.4
강동구,둔촌2동,28.98
강동구,암사1동,39.04
강동구,천호2동,42.78
강동구,길동,73.79
