,gid,행정동,공공_문화체육,유통_공급시설,환경기초시설
268,다사366522,공항동,0,0,0
269,다사366523,공항동,0,0,0
270,다사366524,공항동,0,0,0
271,다사366525,공항동,0,0,0
272,다사366526,공항동,0,0,0
273,다사366527,공항동,0,0,0
274,다사366528,공항동,0,0,0
275,다사366529,공항동,0,0,0
276,다사367498,공항동,0,0,0
277,다사367499,공항동,0,0,0
278,다사367500,공항동,0,0,0
279,다사367501,공항동,0,0,0
280,다사367502,공항동,0,0,0
281,다사367503,공항동,0,0,0
282,다사367504,공항동,0,0,0
283,다사367505,공항동,0,0,0
284,다사367506,공항동,0,0,0
285,다사367507,공항동,0,0,0
286,다사367508,공항동,0,0,0
287,다사367509,공항동,0,0,0
288,다사367510,공항동,0,0,0
289,다사367511,공항동,0,0,0
290,다사367512,공항동,0,0,0
291,다사367513,공항동,0,0,0
292,다사367514,공항동,0,0,0
293,다사367515,공항동,0,0,0
294,다사367516,공항동,0,0,0
295,다사367517,공항동,0,0,0
296,다사367518,공항동,0,0,0
297,다사367519,공항동,0,0,0
298,다사367520,공항동,0,0,0
299,다사367521,공항동,0,0,0
300,다사367522,공항동,0,0,0
301,다사367523,공항동,0,0,0
302,다사367524,공항동,0,0,0
303,다사367525,공항동,0,0,0
304,다사367526,공항동,0,0,0
305,다사367527,공항동,0,0,0
306,다사367528,공항동,0,0,0
307,다사367529,공항동,0,0,0
308,다사367530,공항동,0,0,0
309,다사368498,공항동,0,0,0
310,다사368499,공항동,0,0,0
311,다사368500,공항동,0,0,0
312,다사368501,공항동,0,0,0
313,다사368502,공항동,0,0,0
314,다사368503,공항동,0,0,0
315,다사368504,공항동,0,0,0
316,다사368505,공항동,0,0,0
317,다사368506,공항동,0,0,0
318,다사368507,공항동,0,0,0
319,다사368508,공항동,0,0,0
320,다사368509,공항동,0,0,0
321,다사368510,공항동,0,0,0
322,다사368511,공항동,0,0,0
323,다사368512,공항동,0,0,0
324,다사368513,공항동,0,0,0
325,다사368514,공항동,0,0,0
326,다사368515,공항동,0,0,0
327,다사368516,공항동,0,0,0
328,다사368517,공항동,0,0,0
329,다사368518,공항동,0,0,0
330,다사368519,공항동,0,0,0
331,다사368520,공항동,0,0,0
332,다사368521,공항동,0,0,0
333,다사368522,공항동,0,0,0
334,다사368523,공항동,0,0,0
335,다사368524,공항동,0,0,0
336,다사368525,공항동,0,0,0
337,다사368526,공항동,0,0,0
338,다사368527,공항동,0,0,0
339,다사368528,공항동,0,0,0
340,다사368529,공항동,0,0,0
341,다사368530,공항동,0,0,0
342,다사369498,공항동,0,0,0
343,다사369499,공항동,0,0,0
344,다사369500,공항동,0,0,0
345,다사369501,공항동,0,0,0
346,다사369502,공항동,0,0,0
347,다사369503,공항동,0,0,0
348,다사369504,공항동,0,0,0
349,다사369505,공항동,0,0,0
350,다사369506,공항동,0,0,0
351,다사369507,공항동,0,0,0
352,다사369508,공항동,0,0,0
353,다사369509,공항동,0,0,0
354,다사369510,공항동,0,0,0
355,다사369511,공항동,0,0,0
356,다사369512,공항동,0,0,0
357,다사369513,공항동,0,0,0
358,다사369514,공항동,0,0,0
359,다사369515,공항동,0,0,0
360,다사369516,공항동,0,0,0
361,다사369517,공항동,0,0,0
362,다사369518,공항동,0,0,0
363,다사369519,공항동,0,0,0
364,다사369520,공항동,0,0,0
365,다사369521,공항동,0,0,0
366,다사369522,공항동,0,0,0
367,다사369523,공항동,0,0,0
368,다사369524,공항동,0,0,0
369,다사369525,공항동,0,0,0
370,다사369526,공항동,0,0,0
371,다사369527,공항동,0,0,0
372,다사369528,공항동,0,0,0
373,다사369529,공항동,0,0,0
374,다사369530,공항동,0,0,0
375,다사369531,공항동,0,0,0
376,다사370498,공항동,0,0,0
377,다사370499,공항동,0,0,0
378,다사370500,공항동,0,0,0
379,다사370501,공항동,0,0,0
380,다사370502,공항동,0,0,0
381,다사370503,공항동,0,0,0
382,다사370504,공항동,0,0,0
383,다사370505,공항동,0,0,0
384,다사370506,공항동,0,0,0
385,다사370507,공항동,0,0,0
386,다사370508,공항동,0,0,0
387,다사370509,공항동,0,0,0
388,다사370510,공항동,0,0,0
389,다사370511,공항동,0,0,0
390,다사370512,공항동,0,0,0
391,다사370513,공항동,0,0,0
392,다사370514,공항동,0,0,0
393,다사370515,공항동,0,0,0
394,다사370516,공항동,0,0,0
395,다사370517,공항동,0,0,0
396,다사370518,공항동,0,0,0
397,다사370519,공항동,0,0,0
398,다사370520,공항동,0,0,0
399,다사370521,공항동,0,0,0
400,다사370522,공항동,0,0,0
401,다사370523,공항동,0,0,0
402,다사370524,공항동,0,0,0
403,다사370525,공항동,0,0,0
404,다사370526,공항동,0,0,0
405,다사370527,공항동,0,0,0
406,다사370528,공항동,0,0,0
407,다사370529,공항동,0,0,0
408,다사370530,공항동,0,0,0
409,다사370531,공항동,0,0,0
410,다사371497,공항동,0,0,0
411,다사371498,공항동,0,0,0
412,다사371499,공항동,0,0,0
413,다사371500,공항동,0,0,0
414,다사371501,공항동,0,0,0
415,다사371502,공항동,0,0,0
416,다사371503,공항동,0,0,0
417,다사371504,공항동,0,0,0
418,다사371505,공항동,0,0,0
419,다사371506,공항동,0,0,0
420,다사371507,공항동,0,0,0
421,다사371508,공항동,0,0,0
422,다사371509,공항동,0,0,0
423,다사371510,공항동,0,0,0
424,다사371511,공항동,0,0,0
425,다사371512,공항동,0,0,0
426,다사371513,공항동,0,0,0
427,다사371514,공항동,0,0,0
428,다사371515,공항동,0,0,0
429,다사371516,공항동,0,0,0
430,다사371517,공항동,0,0,0
431,다사371518,공항동,0,0,0
432,다사371519,공항동,0,0,0
433,다사371520,공항동,0,0,0
434,다사371521,공항동,0,0,0
435,다사371522,공항동,0,0,0
436,다사371523,공항동,0,0,0
437,다사371524,공항동,0,0,0
438,다사371525,공항동,0,0,0
439,다사371526,공항동,0,0,0
440,다사371527,공항동,0,0,0
441,다사371528,공항동,0,0,0
442,다사371529,공항동,0,0,0
443,다사371530,공항동,0,0,0
444,다사371531,공항동,0,0,0
445,다사371532,방화2동,0,0,0
446,다사371533,방화2동,0,0,0
447,다사372496,공항동,0,0,0
448,다사372497,공항동,0,0,0
449,다사372498,공항동,0,0,0
450,다사372499,공항동,0,0,0
451,다사372500,공항동,0,0,0
452,다사372501,공항동,0,0,0
453,다사372502,공항동,0,0,0
454,다사372503,공항동,0,0,0
455,다사372504,공항동,0,0,0
456,다사372505,공항동,0,0,0
457,다사372506,공항동,0,0,0
458,다사372507,공항동,0,0,0
459,다사372508,공항동,0,0,0
460,다사372509,공항동,0,0,0
461,다사372510,공항동,0,0,0
462,다사372511,공항동,0,0,0
463,다사372512,공항동,0,0,0
464,다사372513,공항동,0,0,0
465,다사372514,공항동,0,0,0
466,다사372515,공항동,0,0,0
467,다사372516,공항동,0,0,0
468,다사372517,공항동,0,0,0
469,다사372518,공항동,0,0,0
470,다사372519,공항동,0,0,0
471,다사372520,공항동,0,0,0
472,다사372521,공항동,0,0,0
473,다사372522,공항동,0,0,0
474,다사372523,공항동,0,0,0
475,다사372524,공항동,0,0,0
476,다사372525,공항동,0,0,0
477,다사372526,공항동,0,0,0
478,다사372527,공항동,0,0,0
479,다사372528,공항동,0,0,0
480,다사372529,공항동,0,0,0
481,다사372530,공항동,0,0,0
482,다사372531,방화2동,0,0,0
483,다사372532,방화2동,0,0,0
484,다사372533,방화2동,0,0,0
485,다사373496,공항동,0,0,0
486,다사373497,공항동,0,0,0
487,다사373498,공항동,0,0,0
488,다사373499,공항동,0,0,0
489,다사373500,공항동,0,0,0
490,다사373501,공항동,0,0,0
491,다사373502,공항동,0,0,0
492,다사373503,공항동,0,0,0
493,다사373504,공항동,0,0,0
494,다사373505,공항동,0,0,0
495,다사373506,공항동,0,0,0
496,다사373507,공항동,0,0,0
497,다사373508,공항동,0,0,0
498,다사373509,공항동,0,0,0
499,다사373510,공항동,0,0,0
500,다사373511,공항동,0,0,0
501,다사373512,공항동,0,0,0
502,다사373513,공항동,0,0,0
503,다사373514,공항동,0,0,0
504,다사373515,공항동,0,0,0
505,다사373516,공항동,0,0,0
506,다사373517,공항동,0,0,0
507,다사373518,공항동,0,0,0
508,다사373519,공항동,0,0,0
509,다사373520,공항동,0,0,0
510,다사373521,공항동,0,0,0
511,다사373522,공항동,0,0,0
512,다사373523,공항동,0,0,0
513,다사373524,공항동,0,0,0
514,다사373525,공항동,0,0,0
515,다사373526,공항동,0,0,0
516,다사373527,공항동,0,0,0
517,다사373528,공항동,0,0,0
518,다사373529,공항동,0,0,0
519,다사373530,방화2동,0,0,0
520,다사373531,방화2동,0,0,0
521,다사373532,방화2동,0,0,0
522,다사373533,방화2동,0,0,0
523,다사373534,방화2동,0,0,0
524,다사373535,방화2동,0,0,0
525,다사373536,방화2동,0,0,0
526,다사373537,방화2동,0,0,0
527,다사374493,공항동,0,0,0
528,다사374494,공항동,0,0,0
529,다사374495,공항동,0,0,0
530,다사374496,공항동,0,0,0
531,다사374497,공항동,0,0,0
532,다사374498,공항동,0,0,0
533,다사374499,공항동,0,0,0
534,다사374500,공항동,0,0,0
535,다사374501,공항동,0,0,0
536,다사374502,공항동,0,0,0
537,다사374503,공항동,0,0,0
538,다사374504,공항동,0,0,0
539,다사374505,공항동,0,0,0
540,다사374506,공항동,0,0,0
541,다사374507,공항동,0,0,0
542,다사374508,공항동,0,0,0
543,다사374509,공항동,0,0,0
544,다사374510,공항동,0,0,0
545,다사374511,공항동,0,0,0
546,다사374512,공항동,0,0,0
547,다사374513,공항동,0,0,0
548,다사374514,공항동,0,0,0
549,다사374515,공항동,0,0,0
550,다사374516,공항동,0,0,0
551,다사374517,공항동,0,0,0
552,다사374518,공항동,0,0,0
553,다사374519,공항동,0,0,0
554,다사374520,공항동,0,0,0
555,다사374521,공항동,0,0,0
556,다사374522,공항동,0,0,0
557,다사374523,공항동,0,0,0
558,다사374524,공항동,0,0,0
559,다사374525,공항동,0,0,0
560,다사374526,공항동,0,0,0
561,다사374527,공항동,0,0,0
562,다사374528,공항동,0,0,0
563,다사374529,공항동,0,0,0
564,다사374530,방화2동,0,0,0
565,다사374531,방화2동,0,0,0
566,다사374532,방화2동,0,0,0
567,다사374533,방화2동,0,0,0
568,다사374534,방화2동,0,0,0
569,다사374535,방화2동,0,0,0
570,다사374536,방화2동,0,0,0
571,다사374537,방화2동,0,0,0
572,다사375491,공항동,0,0,0
573,다사375493,공항동,0,0,0
574,다사375494,공항동,0,0,0
575,다사375495,공항동,0,0,0
576,다사375496,공항동,0,0,0
577,다사375497,공항동,0,0,0
578,다사375498,공항동,0,0,0
579,다사375499,공항동,0,0,0
580,다사375500,공항동,0,0,0
581,다사375501,공항동,0,0,0
582,다사375502,공항동,0,0,0
583,다사375503,공항동,0,0,0
584,다사375504,공항동,0,0,0
585,다사375505,공항동,0,0,0
586,다사375506,공항동,0,0,0
587,다사375507,공항동,0,0,0
588,다사375508,공항동,0,0,0
589,다사375509,공항동,0,0,0
590,다사375510,공항동,0,0,0
591,다사375511,공항동,0,0,0
592,다사375512,공항동,0,0,0
593,다사375513,공항동,0,0,0
594,다사375514,공항동,0,0,0
595,다사375515,공항동,0,0,0
