gid,합계
다사646542,0
다사641566,3
다사630553,1
다사632525,0
다사654562,1
다사635531,0
다사648563,0
다사634538,0
다사645563,0
다사639544,1
다사628567,0
다사638547,1
다사651557,0
다사637560,0
다사642561,3
다사622548,2
다사628528,0
다사632541,0
다사623543,0
다사624546,0
다사625552,0
다사628527,0
다사635543,1
다사628564,0
다사644576,0
다사655573,0
다사626543,0
다사628538,0
다사649577,0
다사640571,0
다사649561,0
다사631537,0
다사635548,0
다사652561,0
다사647576,0
다사641536,0
다사648549,0
다사630564,0
다사630572,0
다사632575,0
다사640550,0
다사632542,0
다사632528,0
다사637549,0
다사645561,0
다사628550,0
다사638559,0
다사627568,0
다사641548,0
다사625558,0
다사627546,0
다사627552,0
다사630559,0
다사631536,0
다사640531,0
다사633530,0
다사644557,0
다사628547,0
다사652568,0
다사643544,1
다사650550,0
다사625546,0
다사634545,1
다사621553,1
다사639540,1
다사643563,0
다사643572,0
다사646553,2
다사647563,0
다사636576,0
다사640541,1
다사632539,0
다사634532,0
다사642534,0
다사645548,0
다사647567,0
다사623572,0
다사628555,0
다사646558,0
다사629530,0
다사634528,0
다사633559,0
다사624554,0
다사621552,1
다사635546,1
다사651555,0
다사631545,0
다사639533,0
다사640575,0
다사651574,0
다사652569,0
다사624559,0
다사630563,0
다사626574,0
다사639534,1
다사639541,1
다사631576,0
다사631562,0
다사632544,0
다사644562,0
다사632554,3
다사644542,0
다사648545,0
다사641553,0
다사647564,0
다사651554,0
다사630561,0
다사634575,0
다사642574,0
다사652555,0
다사636560,0
다사645557,0
다사653558,0
다사627562,0
다사640543,1
다사628525,0
다사642553,0
다사648559,0
다사640558,0
다사649546,0
다사628557,0
다사623552,0
다사640535,0
다사621550,1
다사633526,0
다사634551,0
다사637536,0
다사646552,0
다사643547,0
다사636558,0
다사645547,0
다사645552,2
다사631559,0
다사627554,0
다사646560,0
다사636533,0
다사652575,0
다사624574,0
다사641544,1
다사627541,0
다사642541,1
다사631541,0
다사634554,0
다사624562,0
다사631554,1
다사646549,0
다사632563,0
다사645536,0
다사653561,0
다사637538,0
다사645560,0
다사626554,0
다사630532,0
다사634578,0
다사629562,0
다사633533,0
다사641551,0
다사638535,0
다사626570,3
다사630552,0
다사640545,1
다사636555,0
다사656572,0
다사625548,0
다사633555,3
다사629537,0
다사635524,0
다사645550,0
다사630570,0
다사635544,1
다사647558,0
다사639550,0
다사643555,0
다사626545,0
다사637548,1
다사651569,0
다사625567,0
다사627559,0
다사632574,0
다사640556,0
다사647560,0
다사643562,0
다사632529,0
다사625554,0
다사641558,0
다사628566,0
다사633537,0
다사638536,0
다사648570,0
다사636539,1
다사627538,0
다사644551,0
다사636532,0
다사639531,0
다사640536,0
다사631553,1
다사641570,0
다사626565,0
다사626560,0
다사634556,0
다사647565,0
다사628563,0
다사629544,0
다사645559,0
다사647547,0
다사624549,0
다사639532,0
다사644539,0
다사638548,1
다사623564,0
다사652571,0
다사657558,2
다사629552,1
다사633557,0
다사653571,0
다사655572,0
다사629529,0
다사630536,0
다사631551,0
다사628551,0
다사648542,0
다사634539,1
다사636548,1
다사639557,0
다사625543,0
다사641567,3
다사645544,1
다사627545,0
다사628540,0
다사641572,0
다사644543,2
다사649548,0
다사623554,0
다사642545,0
다사636556,0
다사639563,1
다사625562,0
다사630560,0
다사651558,0
다사623573,0
다사628529,0
다사657573,0
다사635549,2
다사643554,0
다사634555,0
다사648543,1
다사635559,0
다사643536,0
다사642550,0
다사637570,0
다사643535,0
다사644547,0
다사646574,0
다사637535,0
다사638575,0
다사640548,0
다사642542,1
다사644555,0
다사626564,0
다사636557,0
다사629525,0
다사633547,0
다사630546,0
다사632551,2
다사642540,0
다사629566,0
다사647572,0
다사633578,0
다사647552,0
다사628568,0
다사636575,0
다사652558,0
다사630531,0
다사624550,0
다사646576,0
다사646545,0
다사634537,0
다사627572,0
다사634553,0
다사635560,0
다사638541,1
다사643568,0
다사624543,0
다사633541,1
다사635535,0
다사635541,1
다사648555,0
다사648577,0
다사641560,0
다사645570,0
다사652564,0
다사627564,0
다사651560,0
다사634552,0
다사646543,1
다사624570,1
다사647562,0
다사623553,0
다사629532,0
다사638573,0
다사658565,2
다사633540,1
다사628571,0
다사645569,0
다사627569,0
다사636527,0
다사637547,1
다사635558,0
다사645574,0
다사622544,0
다사630567,0
다사631526,0
다사646568,0
다사631574,0
다사632549,2
다사646573,0
다사627544,0
다사642548,0
다사631543,0
다사625540,0
다사642547,0
다사633532,0
다사634560,0
다사653557,0
다사654556,0
다사623548,0
다사634549,2
다사649549,0
다사624571,1
다사629541,0
다사635536,0
다사628542,0
다사643558,0
다사648546,0
다사623556,0
다사636544,1
다사656574,0
다사633536,0
다사638561,0
다사640574,0
다사638550,0
다사645545,0
다사642538,0
다사628548,0
다사638562,1
다사636536,0
다사641546,0
다사644563,0
다사635532,0
다사648573,0
다사634531,0
다사636534,0
다사636529,0
다사632535,0
다사643575,0
다사625545,1
다사631534,0
다사627570,3
다사660559,0
다사631560,0
다사630539,0
다사628565,0
다사644552,2
다사629557,0
다사631540,0
다사644564,0
다사653577,0
다사626552,0
다사622545,0
다사627543,0
다사636528,0
다사656577,0
다사629568,0
다사650549,0
다사624573,0
다사635556,0
다사631558,0
다사641564,3
다사622555,0
다사629528,0
다사627550,0
다사637531,0
다사635537,0
다사623557,0
다사629536,0
다사656576,0
다사635526,0
다사632577,0
다사653573,0
다사628545,0
다사634559,0
다사637550,0
다사644561,0
다사623567,1
다사630573,0
다사639547,1
다사642559,0
다사634550,2
다사638534,0
다사624560,0
다사624566,0
다사633561,0
다사649559,0
다사655560,0
다사631577,0
다사632546,0
다사631571,0
다사630571,0
다사639537,0
다사655575,0
다사649552,2
다사634544,1
다사643546,0
다사647573,0
다사632561,0
다사648547,0
다사628539,0
다사630574,0
