"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","집행상태코드 심볼","현황도형 생성일시","면적(도형)","길이(도형)"
"40501","11000UQ152PS201912151661","UQS500","UQSA52"," ","UQSA52","11000URZ201507162533","11000NTC201507167536","철도","11000"," ","EMA0009","2019-12-15 00:00:00.0","7044.17964366","866.84992673"
"40502","11590UQ152PS202001130001","UQSA50","UQSA52"," ","UQSA52","11590URZ201912100001","11590NTC201912100001","지하철역사","11590"," ","EMA0009","2020-01-13 00:00:00.0","44199.16231810","1498.96292815"
"40503","11590UQ152PS202004140001","UQS200","UQS201"," ","UQS201","11590URZ202003200003","11590NTC202003200001","주차장","11590"," ","EMA0009","2020-04-14 00:00:00.0","1804.31960250","208.32837549"
"40504","11170UQ152PS202007080002","UQS200","UQS201"," ","UQS201","11000URZ202001080016","11000NTC202007080001","주차장","11170","4","EMA0009","2020-07-08 00:00:00.0","3407.19772762","264.90877890"
"40505","11000UQ152PS201906120028","UQS500","UQS520"," ","UQS520","11560URZ201905030001","11560NTC201905030001","도시철도","11000"," ","EMA0009","2019-06-12 00:00:00.0","41347.59395490","5222.88425158"
"40506","11000UQ152PS202002030001","UQS200","UQS210"," ","UQS210","11000URZ202001280120","11000NTC202001280023","주차장","11000","2","EMA0009","2020-02-03 00:00:00.0","2636.16023146","210.11561495"
"40507","11000UQ152PS202002030002","UQS200","UQS210"," ","UQS210","11000URZ202001280121","11000NTC202001280023","주차장","11000","3","EMA0009","2020-02-03 00:00:00.0","1163.49652480","136.61811800"
"40508","11000UQ152PS202002030003","UQS200","UQS210"," ","UQS210","11000URZ202001280122","11000NTC202001280023","주차장","11000","5","EMA0009","2020-02-03 00:00:00.0","2064.23594762","183.59506620"
"40509","11000UQ152PS202002030004","UQS200","UQS210"," ","UQS210","11000URZ202001280123","11000NTC202001280023","주차장","11000","8","EMA0009","2020-02-03 00:00:00.0","3444.75946027","271.44843706"
"40510","11000UQ152PS202002030005","UQS200","UQS210"," ","UQS210","11000URZ202001280145","11000NTC202001280023","주차장","11000","1","EMA0009","2020-02-03 00:00:00.0","2835.25761196","253.26843294"
"40511","11000UQ152PS202002030006","UQS200","UQS210"," ","UQS210","11000URZ202001280146","11000NTC202001280023","주차장","11000","4","EMA0009","2020-02-03 00:00:00.0","2205.98390119","191.99585274"
"40512","11000UQ152PS202002030007","UQS200","UQS210"," ","UQS210","11000URZ202001280147","11000NTC202001280023","주차장","11000","6","EMA0009","2020-02-03 00:00:00.0","2344.00902700","206.95611226"
"40513","11000UQ152PS202002030008","UQS200","UQS210"," ","UQS210","11000URZ202001280148","11000NTC202001280023","주차장","11000","7","EMA0009","2020-02-03 00:00:00.0","7584.44762816","374.15010141"
"40514","11000UQ152PS202002030010","UQS200","UQS210"," ","UQS210","11000URZ202001280124","11000NTC202001280023","주차장","11000","9","EMA0009","2020-02-03 00:00:00.0","1342.77381792","144.83113740"
"40515","11000UQ152PS202002050011","UQS200","UQS210"," ","UQS210","11000URZ202001280121","11000NTC202001280023","주차장","11000","3","EMA0009","2020-02-05 00:00:00.0","1163.49652480","136.61811800"
"40516","11000UQ152PS202002050012","UQS200","UQS210"," ","UQS210","11000URZ202001280122","11000NTC202001280023","주차장","11000","5","EMA0009","2020-02-05 00:00:00.0","2064.23594762","183.59506620"
"40517","11000UQ152PS202002050013","UQS200","UQS210"," ","UQS210","11000URZ202001280123","11000NTC202001280023","주차장","11000","8","EMA0009","2020-02-05 00:00:00.0","3444.75946027","271.44843706"
"40518","11000UQ152PS202002050014","UQS200","UQS210"," ","UQS210","11000URZ202001280145","11000NTC202001280023","주차장","11000","1","EMA0009","2020-02-05 00:00:00.0","2835.25761196","253.26843294"
"40519","11000UQ152PS202002050015","UQS200","UQS210"," ","UQS210","11000URZ202001280146","11000NTC202001280023","주차장","11000","4","EMA0009","2020-02-05 00:00:00.0","2205.98390119","191.99585274"
"40520","11000UQ152PS202002050016","UQS200","UQS210"," ","UQS210","11000URZ202001280147","11000NTC202001280023","주차장","11000","6","EMA0009","2020-02-05 00:00:00.0","2344.00902700","206.95611226"
"40521","11000UQ152PS202002050017","UQS200","UQS210"," ","UQS210","11000URZ202001280148","11000NTC202001280023","주차장","11000","7","EMA0009","2020-02-05 00:00:00.0","7584.44762816","374.15010141"
