gid,ADM_DR_NM
다사640538,면목본동
다사650553,망우본동
다사652572,신내1동
다사631575,묵1동
다사629569,묵1동
다사632531,면목4동
다사637552,상봉2동
다사638532,면목7동
다사649566,신내1동
다사632578,묵1동
다사626540,면목5동
다사654560,망우본동
다사628570,묵1동
다사638533,면목7동
다사647569,신내1동
다사629551,상봉1동
다사646567,신내1동
다사623555,중화2동
다사623546,면목2동
다사644566,신내1동
다사628546,면목2동
다사640533,면목7동
다사623544,면목2동
다사624568,묵2동
다사642573,신내1동
다사632545,면목2동
다사636574,묵1동
다사631530,면목4동
다사648561,신내1동
다사633556,상봉1동
다사657574,신내1동
다사655557,망우본동
다사630565,묵1동
다사653575,신내1동
다사632576,묵1동
다사635554,상봉1동
다사625573,묵2동
다사626558,중화2동
다사641534,면목7동
다사647542,면목3·8동
다사627557,중화2동
다사642532,면목7동
다사627560,중화2동
다사641552,망우본동
다사629575,묵1동
다사640555,상봉1동
다사660561,망우본동
다사627573,묵1동
다사629527,면목4동
다사650557,망우본동
다사632560,중화1동
다사629561,중화1동
다사631528,면목4동
다사644536,면목3·8동
다사649557,망우본동
다사638545,면목본동
다사639555,상봉1동
다사654573,신내1동
다사628554,중화2동
다사629573,묵1동
다사626571,묵1동
다사633539,면목본동
다사652574,신내1동
다사625572,묵2동
다사641559,상봉1동
다사635528,면목4동
다사642543,면목3·8동
다사629540,면목5동
다사639573,신내2동
다사633575,묵1동
다사625570,묵2동
다사628573,묵1동
다사654576,신내1동
다사632564,중화1동
다사632555,상봉1동
다사647577,신내1동
다사625560,중화2동
다사644556,신내1동
다사627576,묵1동
다사632536,면목5동
다사636559,상봉1동
다사653560,망우본동
다사650561,망우본동
다사631550,상봉2동
다사643567,신내1동
다사622551,중화2동
다사625565,묵2동
다사638544,면목본동
다사627553,중화2동
다사636540,면목본동
다사648556,망우본동
다사626555,중화2동
다사636524,중곡4동
다사640551,상봉2동
다사637546,면목본동
다사639551,상봉2동
다사644559,신내1동
다사654557,망우본동
다사633560,중화1동
다사630550,상봉2동
다사646557,신내1동
다사643549,망우3동
다사638546,면목본동
다사639548,면목본동
다사646542,면목3·8동
다사641566,신내2동
다사630553,중화1동
다사632525,중곡3동
다사654562,망우본동
다사635531,면목4동
다사648563,신내1동
다사634538,면목3·8동
다사645563,신내1동
다사639544,면목본동
다사628567,묵1동
다사638547,면목본동
다사651557,망우본동
다사637560,상봉1동
다사642561,신내2동
다사622548,상봉2동
다사628528,면목4동
다사632541,면목5동
다사623543,면목2동
다사624546,면목2동
다사625552,중화2동
다사628527,면목4동
다사635543,면목본동
다사628564,묵1동
다사644576,신내1동
다사655573,신내1동
다사626543,면목2동
다사628538,면목5동
다사649577,신내1동
다사640571,신내2동
다사649561,신내1동
다사631537,면목5동
다사635548,면목2동
다사652561,망우본동
다사647576,신내1동
다사641536,면목3·8동
다사648549,망우3동
다사630564,중화1동
다사630572,묵1동
다사632575,묵1동
다사640550,상봉2동
다사632542,면목5동
다사632528,면목4동
다사637549,상봉2동
다사645561,신내1동
다사628550,상봉2동
다사638559,상봉1동
다사627568,묵1동
다사641548,망우3동
다사625558,중화2동
다사627546,면목2동
다사627552,중화2동
다사630559,중화1동
다사631536,면목5동
다사640531,면목7동
다사633530,면목4동
다사644557,신내1동
다사628547,면목2동
다사652568,망우본동
다사643544,면목3·8동
다사650550,망우3동
다사625546,면목2동
다사634545,면목본동
다사621553,중화2동
다사639540,면목본동
다사643563,신내1동
다사643572,신내1동
다사646553,망우본동
다사647563,신내1동
다사636576,묵1동
다사640541,면목본동
다사632539,면목5동
다사634532,면목7동
다사642534,면목7동
다사645548,망우3동
다사647567,신내1동
다사623572,묵2동
다사628555,중화2동
다사646558,신내1동
다사629530,면목4동
다사634528,면목4동
다사633559,중화1동
다사624554,중화2동
다사621552,중화2동
다사635546,면목본동
다사651555,망우본동
다사631545,면목2동
다사639533,면목7동
다사640575,신내1동
다사651574,신내1동
다사652569,망우본동
다사624559,중화2동
다사630563,중화1동
다사626574,묵1동
다사639534,면목7동
다사639541,면목본동
다사631576,묵1동
다사631562,중화1동
다사632544,면목2동
다사644562,신내1동
다사632554,상봉1동
다사644542,면목3·8동
다사648545,망우3동
다사641553,망우본동
다사647564,신내1동
다사651554,망우본동
다사630561,중화1동
다사634575,묵1동
다사642574,신내1동
다사652555,망우본동
다사636560,상봉1동
다사645557,신내1동
다사653558,망우본동
다사627562,중화2동
다사640543,면목본동
다사628525,중곡3동
다사642553,망우본동
다사648559,망우본동
다사640558,상봉1동
다사649546,망우3동
다사628557,중화1동
다사623552,중화2동
다사640535,면목7동
다사621550,중화2동
다사633526,면목4동
다사634551,상봉2동
다사637536,면목3·8동
다사646552,망우3동
다사643547,망우3동
다사636558,상봉1동
다사645547,망우3동
다사645552,망우본동
다사631559,중화1동
다사627554,중화2동
다사646560,신내1동
다사636533,면목7동
다사652575,신내1동
다사624574,묵2동
다사641544,면목본동
다사627541,면목2동
다사642541,면목본동
다사631541,면목5동
다사634554,상봉1동
다사624562,중화2동
다사631554,상봉1동
다사646549,망우3동
다사632563,중화1동
다사645536,면목3·8동
다사653561,망우본동
다사637538,면목3·8동
다사645560,신내1동
다사626554,중화2동
다사630532,면목7동
다사634578,묵1동
다사629562,중화1동
다사633533,면목7동
다사641551,망우본동
다사638535,면목7동
다사626570,묵1동
다사630552,상봉1동
다사640545,면목본동
다사636555,상봉1동
다사656572,신내1동
다사625548,면목2동
다사633555,상봉1동
다사629537,면목5동
다사635524,중곡4동
다사645550,망우3동
다사630570,묵1동
다사635544,면목본동
다사647558,신내1동
다사639550,상봉2동
다사643555,망우본동
다사626545,면목2동
다사637548,면목본동
다사651569,망우본동
다사625567,묵2동
다사627559,중화2동
다사632574,묵1동
다사640556,상봉1동
다사647560,신내1동
다사643562,신내1동
다사632529,면목4동
다사625554,중화2동
다사641558,상봉1동
다사628566,묵1동
다사633537,면목3·8동
다사638536,면목3·8동
다사648570,망우본동
다사636539,면목본동
다사627538,면목5동
다사644551,망우3동
다사636532,면목7동
다사639531,면목7동
다사640536,면목3·8동
다사631553,상봉1동
다사641570,신내2동
다사626565,묵2동
다사626560,중화2동
다사634556,상봉1동
다사647565,신내1동
다사628563,중화1동
다사629544,면목2동
다사645559,신내1동
다사647547,망우3동
다사624549,상봉2동
다사639532,면목7동
다사644539,면목3·8동
다사638548,면목본동
다사623564,중화2동
다사652571,신내1동
다사657558,망우본동
다사629552,상봉1동
다사633557,중화1동
다사653571,신내1동
다사655572,신내1동
다사629529,면목4동
다사630536,면목5동
다사631551,상봉2동
다사628551,상봉2동
다사648542,면목3·8동
다사634539,면목본동
다사636548,면목본동
다사639557,상봉1동
다사625543,면목2동
다사641567,신내2동
다사645544,면목3·8동
다사627545,면목2동
다사628540,면목5동
다사641572,신내2동
다사644543,면목3·8동
다사649548,망우3동
다사623554,중화2동
다사642545,망우3동
다사636556,상봉1동
다사639563,상봉1동
다사625562,중화2동
다사630560,중화1동
다사651558,망우본동
다사623573,묵2동
다사628529,면목4동
다사657573,신내1동
다사635549,상봉2동
다사643554,망우본동
다사634555,상봉1동
다사648543,면목3·8동
다사635559,상봉1동
다사643536,면목3·8동
다사642550,망우3동
다사637570,신내2동
다사643535,면목3·8동
다사644547,망우3동
다사646574,신내1동
다사637535,면목7동
다사638575,묵1동
다사640548,망우3동
다사642542,면목본동
다사644555,망우본동
다사626564,묵2동
다사636557,상봉1동
다사629525,중곡3동
다사633547,면목2동
다사630546,면목2동
다사632551,상봉2동
다사642540,면목본동
다사629566,묵1동
다사647572,신내1동
다사633578,묵1동
다사647552,망우3동
다사628568,묵1동
다사636575,묵1동
다사652558,망우본동
다사630531,면목7동
다사624550,상봉2동
다사646576,신내1동
다사646545,망우3동
다사634537,면목3·8동
다사627572,묵1동
다사634553,상봉1동
다사635560,상봉1동
다사638541,면목본동
다사643568,신내1동
다사624543,면목2동
다사633541,면목본동
다사635535,면목7동
다사635541,면목본동
다사648555,망우본동
다사648577,신내1동
다사641560,상봉1동
다사645570,신내1동
다사652564,망우본동
다사627564,묵1동
다사651560,망우본동
다사634552,상봉2동
다사646543,면목3·8동
다사624570,묵2동
다사647562,신내1동
다사623553,중화2동
다사629532,면목5동
다사638573,신내2동
다사658565,망우본동
다사633540,면목본동
다사628571,묵1동
다사645569,신내1동
다사627569,묵1동
다사636527,면목4동
다사637547,면목본동
다사635558,상봉1동
다사645574,신내1동
다사622544,면목2동
다사630567,묵1동
다사631526,면목4동
다사646568,신내1동
다사631574,묵1동
다사632549,상봉2동
다사646573,신내1동
다사627544,면목2동
다사642548,망우3동
다사631543,면목2동
다사625540,면목5동
다사642547,망우3동
다사633532,면목7동
다사634560,상봉1동
다사653557,망우본동
다사654556,망우본동
다사623548,상봉2동
다사634549,상봉2동
다사649549,망우3동
다사624571,묵2동
다사629541,면목5동
다사635536,면목3·8동
다사628542,면목2동
다사643558,신내1동
