gid,lon,lat
다사547529,"126.9875547000","37.5748154900"
다사548529,"126.9886871000","37.5748204000"
다사534534,"126.9728013000","37.5792572500"
다사561531,"127.0033968000","37.5766858900"
다사524527,"126.9615218000","37.5728969200"
다사531534,"126.9694038000","37.5792420200"
다사549529,"126.9898196000","37.5748253000"
다사550529,"126.9909520000","37.5748301800"
다사563535,"127.0056379000","37.5803006800"
다사552542,"126.9931374000","37.5865570800"
다사530522,"126.9683482000","37.5684211300"
다사549528,"126.9898257000","37.5739239800"
다사524526,"126.9615282000","37.5719956000"
다사551529,"126.9920844000","37.5748350600"
다사548530,"126.9886810000","37.5757217200"
다사529533,"126.9671452000","37.5783305000"
다사528534,"126.9660063000","37.5792267000"
다사547528,"126.9875609000","37.5739141700"
다사550532,"126.9909336000","37.5775341400"
다사550531,"126.9909397000","37.5766328200"
다사563534,"127.0056439000","37.5793993600"
다사532522,"126.9706129000","37.5684313100"
다사526528,"126.9637801000","37.5738085400"
다사526527,"126.9637866000","37.5729072300"
다사550530,"126.9909459000","37.5757315000"
다사528524,"126.9660707000","37.5702135400"
다사528533,"126.9660127000","37.5783253900"
다사530523,"126.9683418000","37.5693224500"
다사527533,"126.9648803000","37.5783202600"
다사531522,"126.9694805000","37.5684262200"
다사527531,"126.9648932000","37.5765176300"
다사523525,"126.9604024000","37.5710891200"
다사484559,"126.9160007000","37.6015234200"
다사486559,"126.9182663000","37.6015346100"
다사485558,"126.9171405000","37.6006277100"
다사485559,"126.9171335000","37.6015290200"
다사486558,"126.9182733000","37.6006333000"
다사487559,"126.9193992000","37.6015401900"
다사484558,"126.9160077000","37.6006221100"
다사480560,"126.9114623000","37.6024022100"
다사483559,"126.9148679000","37.6015178100"
다사532481,"126.9708742000","37.5314771700"
다사541466,"126.9811538000","37.5180024800"
다사525504,"126.9628030000","37.5521717800"
다사535466,"126.9743644000","37.5179724600"
다사535481,"126.9742695000","37.5314923300"
다사538466,"126.9777591000","37.5179875200"
다사538465,"126.9777654000","37.5170861900"
다사532480,"126.9708805000","37.5305758400"
다사539466,"126.9788907000","37.5179925100"
다사534481,"126.9731377000","37.5314872900"
다사527503,"126.9650736000","37.5512807400"
다사542465,"126.9822916000","37.5171061200"
다사534480,"126.9731441000","37.5305859600"
다사525503,"126.9628095000","37.5512704600"
다사540465,"126.9800285000","37.5170961800"
다사533480,"126.9720123000","37.5305809100"
다사533481,"126.9720059000","37.5314822300"
다사517486,"126.9538647000","37.5359064900"
다사526504,"126.9639351000","37.5521769200"
다사531478,"126.9697615000","37.5287681200"
다사537465,"126.9766338000","37.5170811800"
다사537466,"126.9766275000","37.5179825100"
다사539479,"126.9788092000","37.5297097500"
다사537480,"126.9765394000","37.5306010600"
다사526496,"126.9639868000","37.5449663700"
다사519482,"126.9561546000","37.5323116500"
다사538480,"126.9776711000","37.5306060700"
다사539481,"126.9787966000","37.5315124000"
다사539480,"126.9788029000","37.5306110700"
다사538481,"126.9776648000","37.5315074000"
다사536481,"126.9754013000","37.5314973600"
다사537481,"126.9765331000","37.5315023900"
다사454468,"126.8826931000","37.5193316100"
다사460462,"126.8895267000","37.5139590200"
다사475460,"126.9065134000","37.5122428900"
다사473457,"126.9042719000","37.5095275500"
다사456468,"126.8849563000","37.5193434200"
다사455468,"126.8838247000","37.5193375200"
다사471443,"126.9021097000","37.4968976800"
다사467439,"126.8976137000","37.4932694200"
다사467441,"126.8975992000","37.4950720600"
다사456466,"126.8849711000","37.5175407900"
다사474460,"126.9053819000","37.5122372000"
다사457469,"126.8860805000","37.5202506100"
다사478460,"126.9099078000","37.5122599000"
다사462459,"126.8918116000","37.5112667600"
다사457464,"126.8861174000","37.5157440500"
