gid,lbl,val
다사686474,16.000000,16.000000
다사666477,163.000000,163.000000
다사695511,508.000000,508.000000
다사684508,377.000000,377.000000
다사683507,1699.000000,1699.000000
다사709509,397.000000,397.000000
다사673471,91.000000,91.000000
다사669475,546.000000,546.000000
다사694511,602.000000,602.000000
다사695507,6.000000,6.000000
다사667488,102.000000,102.000000
다사718512,419.000000,419.000000
다사685495,493.000000,493.000000
다사713506,259.000000,259.000000
다사693509,0.000000,0.000000
다사710500,296.000000,296.000000
다사693508,671.000000,671.000000
다사703510,609.000000,609.000000
다사693499,243.000000,243.000000
다사714503,366.000000,366.000000
다사688475,0.000000,0.000000
다사688492,344.000000,344.000000
다사674506,92.000000,92.000000
다사683499,431.000000,431.000000
다사692503,851.000000,851.000000
다사687506,271.000000,271.000000
다사711529,0.000000,0.000000
다사711513,106.000000,106.000000
다사684476,1621.000000,1621.000000
다사676475,269.000000,269.000000
다사718511,285.000000,285.000000
다사709510,439.000000,439.000000
다사712525,90.000000,90.000000
다사672499,392.000000,392.000000
다사715514,130.000000,130.000000
다사705513,37.000000,37.000000
다사690512,762.000000,762.000000
다사671508,0.000000,0.000000
다사677477,368.000000,368.000000
다사673504,573.000000,573.000000
다사669474,319.000000,319.000000
다사689488,284.000000,284.000000
다사684506,102.000000,102.000000
다사665490,299.000000,299.000000
다사681500,415.000000,415.000000
다사711503,310.000000,310.000000
다사666484,297.000000,297.000000
다사683485,531.000000,531.000000
다사668476,441.000000,441.000000
다사709497,131.000000,131.000000
다사707531,39.000000,39.000000
다사669480,672.000000,672.000000
다사677488,287.000000,287.000000
다사671495,553.000000,553.000000
다사710509,0.000000,0.000000
다사695497,279.000000,279.000000
다사716509,8.000000,8.000000
다사672479,395.000000,395.000000
다사672491,29.000000,29.000000
다사675470,7.000000,7.000000
다사691511,519.000000,519.000000
다사680486,556.000000,556.000000
다사705501,267.000000,267.000000
다사705514,366.000000,366.000000
다사685485,385.000000,385.000000
다사706531,27.000000,27.000000
다사676482,411.000000,411.000000
다사673481,356.000000,356.000000
다사679494,456.000000,456.000000
다사670503,983.000000,983.000000
다사669488,0.000000,0.000000
다사676472,253.000000,253.000000
다사688494,572.000000,572.000000
다사712503,228.000000,228.000000
다사673477,393.000000,393.000000
다사680485,254.000000,254.000000
다사675485,422.000000,422.000000
다사685483,257.000000,257.000000
다사677483,544.000000,544.000000
다사713502,438.000000,438.000000
다사678503,518.000000,518.000000
다사702507,545.000000,545.000000
다사695512,194.000000,194.000000
다사684491,493.000000,493.000000
다사710526,755.000000,755.000000
다사678493,410.000000,410.000000
다사681479,545.000000,545.000000
다사681481,338.000000,338.000000
다사666485,68.000000,68.000000
다사677502,481.000000,481.000000
다사677517,19.000000,19.000000
다사667494,529.000000,529.000000
