gid,lon,lat
다사643542,127.0962063000,37.5869546700
다사646550,127.0995655000,37.5941768900
다사623551,127.0735073000,37.5949869500
다사636550,127.0882381000,37.5941379100
다사637544,127.0894006000,37.5887338800
다사630568,127.0813507000,37.6103378900
다사634543,127.0860076000,37.5878206800
다사630545,127.0814669000,37.5896073700
다사637559,127.0893263000,37.6022538200
다사641542,127.0939410000,37.5869469000
다사647543,127.1007320000,37.5878714100
다사654575,127.1085094000,37.6167405200
다사648576,127.1017061000,37.6176191000
다사638572,127.0903949000,37.6139750000
다사637530,127.0894699000,37.5761152500
다사629574,127.0801874000,37.6157418200
다사652554,127.1063430000,37.5978050700
다사655576,127.1096378000,37.6176456000
다사631529,127.0826801000,37.5751901000
다사646546,127.0995849000,37.5905715700
다사647568,127.1006116000,37.6104046500
다사646544,127.0995945000,37.5887689000
다사644548,127.0973098000,37.5923665200
다사631548,127.0825845000,37.5923153600
다사644549,127.0973049000,37.5932678500
다사622549,127.0723849000,37.5931802000
다사630551,127.0814366000,37.5950153400
다사637576,127.0892420000,37.6175763700
다사633553,127.0848249000,37.5968300000
다사643545,127.0961917000,37.5896586600
다사645551,127.0984280000,37.5950743700
다사651564,127.1051626000,37.6068145900
다사636561,127.0881835000,37.6040525200
다사637575,127.0892470000,37.6166750400
다사634525,127.0860974000,37.5715967300
다사628553,127.0791609000,37.5968099400
다사636553,127.0882232000,37.5968419000
다사643561,127.0961137000,37.6040799300
다사624542,127.0746862000,37.5868790900
다사631538,127.0826348000,37.5833020700
다사630529,127.0815476000,37.5751860900
다사634561,127.0859177000,37.6040446000
다사640561,127.0927150000,37.6040682500
다사625571,127.0756704000,37.6130216300
다사646570,127.0994689000,37.6122034600
다사623568,127.0734198000,37.6103094900
다사635545,127.0871303000,37.5896273100
다사643559,127.0961235000,37.6022772700
다사636546,127.0882580000,37.5905326000
다사650554,127.1040774000,37.5977975000
다사634542,127.0860126000,37.5869193600
다사650567,127.1040153000,37.6095147800
다사631525,127.0827002000,37.5715847700
다사629556,127.0802785000,37.5995179500
다사640540,127.0928182000,37.5851403300
다사651579,127.1050911000,37.6203345000
다사640547,127.0927838000,37.5914496500
다사641563,127.0938381000,37.6058748100
다사625549,127.0757831000,37.5931924600
다사628569,127.0790797000,37.6112311600
다사629526,127.0804303000,37.5724780700
다사646556,127.0995366000,37.5995848700
다사634540,127.0860225000,37.5851167000
다사650562,127.1040392000,37.6050081300
다사626547,127.0769260000,37.5913938700
다사632526,127.0838276000,37.5724901000
다사633574,127.0847196000,37.6157578600
다사641539,127.0939557000,37.5842429000
다사656573,127.1107850000,37.6149453600
다사658566,127.1130838000,37.6086435100
다사633545,127.0848649000,37.5896193700
다사640546,127.0927887000,37.5905483200
다사629577,127.0801722000,37.6184457900
다사633554,127.0848198000,37.5977313200
다사642564,127.0949662000,37.6067800300
다사651556,127.1052007000,37.5996039500
다사634548,127.0859826000,37.5923273300
다사623550,127.0735125000,37.5940856200
다사625544,127.0758086000,37.5886858200
다사632543,127.0837423000,37.5878127200
다사636543,127.0882729000,37.5878286100
다사624545,127.0746709000,37.5895830700
다사625541,127.0758240000,37.5859818300
다사651559,127.1051864000,37.6023079400
다사635552,127.0870954000,37.5959366100
다사635574,127.0869858000,37.6157658100
다사652562,127.1063050000,37.6050157100
다사630527,127.0815577000,37.5733834200
다사622546,127.0724004000,37.5904762100
다사629547,127.0803241000,37.5914060000
다사631533,127.0826600000,37.5787954200
다사623562,127.0734507000,37.6049015400
다사625575,127.0756500000,37.6166269300
다사647574,127.1005826000,37.6158126100
다사657566,127.1119509000,37.6086397900
다사648557,127.1017974000,37.6004938600
다사640563,127.0927052000,37.6058709100
다사624569,127.0745477000,37.6112149100
다사630549,127.0814467000,37.5932126800
다사636573,127.0881238000,37.6148684400
다사624548,127.0746555000,37.5922870600
다사624556,127.0746144000,37.5994976700
다사631572,127.0824636000,37.6139472100
다사648548,127.1018406000,37.5923818900
다사649545,127.1029877000,37.5896817100
다사644565,127.0972272000,37.6076891100
다사625568,127.0756858000,37.6103176600
다사635557,127.0870705000,37.6004432600
다사645556,127.0984037000,37.5995810200
다사630537,127.0815073000,37.5823967300
다사653556,127.1074664000,37.5996115100
다사628543,127.0792117000,37.5877966500
다사629571,127.0802026000,37.6130378400
다사633558,127.0847998000,37.6013366300
다사636551,127.0882331000,37.5950392400
다사630528,127.0815527000,37.5742847600
다사636530,127.0883374000,37.5761113100
다사634547,127.0859876000,37.5914260000
다사633546,127.0848599000,37.5905206900
다사659565,127.1142214000,37.6077458900
다사632573,127.0835916000,37.6148525400
다사632540,127.0837573000,37.5851087300
다사633548,127.0848499000,37.5923233500
다사629555,127.0802836000,37.5986166200
다사634533,127.0860575000,37.5788073800
다사641541,127.0939459000,37.5860455700
다사650577,127.1039675000,37.6185280500
다사626557,127.0768750000,37.6004071400
다사629539,127.0803646000,37.5841953700
다사633577,127.0847046000,37.6184618300
다사641537,127.0939655000,37.5824402400
다사657559,127.1119836000,37.6023304800
다사648571,127.1017301000,37.6131124600
다사627556,127.0780129000,37.5995098700
다사644544,127.0973292000,37.5887612000
다사633550,127.0848399000,37.5941260100
다사639553,127.0916216000,37.5968537100
다사627575,127.0779161000,37.6166350600
다사629576,127.0801772000,37.6175444700
다사648551,127.1018262000,37.5950858800
다사650555,127.1040727000,37.5986988300
다사646559,127.0995221000,37.6022888500
다사640554,127.0927494000,37.5977589500
다사641540,127.0939508000,37.5851442300
다사624558,127.0746042000,37.6013003300
다사626556,127.0768801000,37.5995058200
다사637545,127.0893956000,37.5896352100
다사641532,127.0939900000,37.5779335800
다사649560,127.1029159000,37.6032016700
다사635551,127.0871004000,37.5950352900
다사628575,127.0790492000,37.6166391100
다사637551,127.0893659000,37.5950431900
다사642570,127.0949368000,37.6121880000
다사626551,127.0769056000,37.5949991800
다사637539,127.0894253000,37.5842272300
다사636542,127.0882778000,37.5869272800
다사640534,127.0928476000,37.5797323500
다사644568,127.0972126000,37.6103931000
다사628576,127.0790441000,37.6175404300
