gid,라벨,lon,lat
다사600475,"2","127.0478682000","37.5263889100"
다사601477,"2","127.0489890000","37.5281959100"
다사599474,"2","127.0467419000","37.5254832400"
다사601475,"2","127.0489999000","37.5263932400"
다사601474,"2","127.0490053000","37.5254919000"
다사600476,"2","127.0478627000","37.5272902400"
다사599473,"2","127.0467474000","37.5245819000"
다사598477,"2","127.0455938000","37.5281828900"
다사599475,"2","127.0467365000","37.5263845700"
다사602475,"2","127.0501316000","37.5263975500"
다사598476,"2","127.0455993000","37.5272815600"
다사598475,"2","127.0456048000","37.5263802200"
다사599477,"2","127.0467256000","37.5281872400"
다사600474,"2","127.0478736000","37.5254875800"
다사599472,"2","127.0467528000","37.5236805700"
다사598473,"2","127.0456157000","37.5245775500"
다사602477,"2","127.0501208000","37.5282002200"
다사600477,"2","127.0478573000","37.5281915800"
다사598474,"2","127.0456102000","37.5254788900"
다사600472,"2","127.0478845000","37.5236849100"
다사470400,"22","126.9012878000","37.4581351600"
다사474396,"22","126.9058389000","37.4545526900"
다사472398,"22","126.9035634000","37.4563439400"
다사472397,"22","126.9035705000","37.4554426200"
다사472401,"22","126.9035419000","37.4590479200"
다사472402,"22","126.9035347000","37.4599492400"
다사474395,"22","126.9058460000","37.4536513600"
다사473403,"22","126.9046583000","37.4608562700"
다사470397,"22","126.9013093000","37.4554311900"
다사470399,"22","126.9012949000","37.4572338300"
다사473402,"22","126.9046654000","37.4599549400"
다사474400,"22","126.9058104000","37.4581579800"
다사471398,"22","126.9024328000","37.4563382300"
다사472403,"22","126.9035276000","37.4608505600"
다사474398,"22","126.9058246000","37.4563553400"
다사471401,"22","126.9024112000","37.4590422000"
다사473399,"22","126.9046869000","37.4572509700"
다사473404,"22","126.9046511000","37.4617575900"
다사471397,"22","126.9024399000","37.4554369100"
다사470398,"22","126.9013021000","37.4563325100"
다사472399,"22","126.9035562000","37.4572452700"
다사473398,"22","126.9046940000","37.4563496500"
다사471399,"22","126.9024256000","37.4572395600"
다사474397,"22","126.9058318000","37.4554540100"
다사472400,"22","126.9035491000","37.4581465900"
다사474399,"22","126.9058175000","37.4572566600"
다사471400,"22","126.9024184000","37.4581408800"
다사473396,"22","126.9047083000","37.4545470000"
다사473401,"22","126.9046726000","37.4590536200"
다사473397,"22","126.9047012000","37.4554483200"
다사562425,"36","127.0051609000","37.4811498200"
다사561422,"36","127.0040477000","37.4784410700"
다사561428,"36","127.0040120000","37.4838490900"
다사563423,"36","127.0063037000","37.4793518800"
다사562423,"36","127.0051727000","37.4793471500"
다사562424,"36","127.0051668000","37.4802484900"
다사560423,"36","127.0029107000","37.4793376600"
다사566423,"36","127.0096967000","37.4793660100"
다사565423,"36","127.0085657000","37.4793613100"
다사564424,"36","127.0074288000","37.4802579400"
다사564425,"36","127.0074229000","37.4811592800"
다사561423,"36","127.0040417000","37.4793424100"
다사560426,"36","127.0028928000","37.4820416600"
다사563421,"36","127.0063156000","37.4775492100"
다사563422,"36","127.0063097000","37.4784505500"
다사563424,"36","127.0062978000","37.4802532200"
다사562422,"36","127.0051787000","37.4784458200"
다사563425,"36","127.0062919000","37.4811545600"
다사562426,"36","127.0051549000","37.4820511600"
다사559426,"36","127.0017618000","37.4820369000"
다사561426,"36","127.0040239000","37.4820464200"
다사560424,"36","127.0029048000","37.4802389900"
다사566424,"36","127.0096908000","37.4802673500"
다사565424,"36","127.0085598000","37.4802626500"
다사563426,"36","127.0062859000","37.4820558900"
다사567423,"36","127.0108277000","37.4793707000"
다사565422,"36","127.0085716000","37.4784599800"
다사561427,"36","127.0040179000","37.4829477500"
다사564421,"36","127.0074466000","37.4775539300"
다사589510,"45","127.0352236000","37.5578871600"
다사588514,"45","127.0340689000","37.5614880100"
다사589512,"45","127.0352124000","37.5596898200"
다사591512,"45","127.0374768000","37.5596987100"
다사589516,"45","127.0351900000","37.5632951300"
다사591516,"45","127.0374545000","37.5633040200"
다사589515,"45","127.0351956000","37.5623938000"
다사591510,"45","127.0374879000","37.5578960600"
다사590512,"45","127.0363446000","37.5596942700"
다사586512,"45","127.0318157000","37.5596764000"
다사591513,"45","127.0374712000","37.5606000400"
다사590511,"45","127.0363502000","37.5587929400"
다사589513,"45","127.0352068000","37.5605911500"
다사590516,"45","127.0363222000","37.5632995800"
다사591511,"45","127.0374824000","37.5587973800"
다사592511,"45","127.0386146000","37.5588018100"
다사590510,"45","127.0363558000","37.5578916100"
다사587512,"45","127.0329480000","37.5596808800"
다사590513,"45","127.0363390000","37.5605956000"
다사591515,"45","127.0374601000","37.5624027000"
다사588510,"45","127.0340914000","37.5578827000"
다사592510,"45","127.0386201000","37.5579004900"
다사588516,"45","127.0340577000","37.5632906700"
다사587511,"45","127.0329536000","37.5587795600"
다사588513,"45","127.0340746000","37.5605866800"
다사585515,"45","127.0306666000","37.5623758800"
다사589514,"45","127.0352012000","37.5614924700"
다사590514,"45","127.0363334000","37.5614969300"
다사591514,"45","127.0374657000","37.5615013700"
다사596427,"84","127.0436048000","37.4831073000"
다사596428,"84","127.0435993000","37.4840086400"
다사601428,"84","127.0492547000","37.4840303600"
다사598427,"84","127.0458669000","37.4831160200"
