동,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
역촌동,3,4,7,9,13,32,61
연남동,1,2,3,9,14,21,33
연희동,3,3,14,37,54,68,120
염리동,0,0,0,5,9,11,85
염창동,0,0,3,11,22,44,94
영등포동,2,2,5,20,36,60,102
영등포본동,0,0,1,2,6,17,42
오금동,1,2,4,16,19,44,97
오류1동,0,0,0,8,11,21,37
오류2동,1,2,3,7,23,37,78
오륜동,0,1,1,7,19,17,34
옥수동,0,0,1,14,31,45,94
왕십리2동,0,1,1,2,3,8,24
왕십리도선동,0,0,2,15,16,27,71
용강동,0,1,2,13,18,34,65
용답동,1,1,3,4,19,42,55
용문동,0,0,0,2,9,13,25
용산2가동,0,0,0,3,2,5,14
용신동,4,4,19,27,32,42,82
우이동,0,0,1,5,10,13,36
우장산동,2,2,1,10,16,25,73
원효로1동,1,1,10,14,21,35,81
원효로2동,1,8,8,51,58,77,45
월계1동,0,1,1,6,9,17,46
월계2동,0,0,3,8,12,21,42
월계3동,0,0,1,4,11,26,45
월곡1동,2,4,3,6,7,15,19
월곡2동,1,0,1,3,13,25,49
위례동,1,3,10,32,40,61,163
은천동,0,0,2,4,9,20,57
을지로동,0,0,0,1,2,6,9
응봉동,2,1,1,1,3,12,20
응암1동,1,0,2,6,6,31,60
응암2동,1,1,3,9,16,30,75
응암3동,1,1,2,5,8,15,27
이문1동,0,0,1,2,12,17,23
이문2동,0,0,1,6,13,14,26
이촌1동,1,3,5,11,29,52,275
이촌2동,0,0,2,7,11,14,49
이태원1동,1,2,7,34,43,48,61
이태원2동,1,1,2,5,6,10,15
이화동,1,2,3,4,7,18,23
인수동,1,2,3,7,20,36,68
인헌동,0,0,0,8,8,17,36
일원1동,1,1,2,4,12,22,36
일원2동,1,1,4,18,35,60,101
일원본동,1,1,2,10,21,39,59
자양1동,1,0,4,24,31,42,76
자양2동,1,1,2,6,12,15,43
자양3동,1,1,5,10,21,30,73
자양4동,0,0,0,2,4,6,22
잠실2동,0,1,3,24,46,74,126
잠실3동,1,1,6,14,30,54,97
잠실4동,0,1,6,26,32,56,95
잠실6동,2,3,6,32,42,62,99
잠실7동,0,0,1,3,4,8,23
잠실본동,1,3,4,9,14,28,75
잠원동,2,4,6,9,26,30,53
장안1동,2,2,6,15,25,34,74
장안2동,1,1,1,2,9,27,73
장위1동,0,2,3,5,8,14,42
장위2동,0,1,2,3,6,9,20
장위3동,0,0,0,1,4,20,39
장지동,3,3,8,16,18,34,72
장충동,6,6,11,16,18,21,25
전농1동,2,3,2,6,20,30,62
전농2동,1,2,5,7,7,14,37
정릉1동,2,2,3,27,49,89,115
정릉2동,0,0,1,7,19,24,45
정릉3동,2,2,2,5,7,12,20
정릉4동,0,0,1,7,34,18,40
제기동,0,1,1,5,7,17,33
조원동,0,1,2,3,5,13,29
종로1·2·3·4가동,12,15,37,35,41,53,122
종로5·6가동,1,3,3,4,3,6,9
종암동,1,1,3,14,17,41,72
중계1동,0,1,5,8,9,19,37
중계2·3동,0,0,1,11,16,26,48
중계4동,0,4,7,8,18,26,40
중계본동,0,0,0,4,11,22,30
중곡1동,0,0,2,6,11,18,24
중곡2동,0,1,1,2,4,8,19
중곡3동,0,0,0,3,4,9,15
중곡4동,0,0,3,7,8,18,47
중림동,1,2,3,14,19,28,44
중앙동,1,0,1,6,10,13,21
중화1동,1,2,3,7,8,18,29
중화2동,0,0,0,5,6,12,34
증산동,0,0,2,7,7,17,30
진관동,8,9,13,36,81,134,197
창1동,0,1,2,6,22,43,55
창2동,0,0,0,9,13,21,44
창3동,1,1,1,3,7,13,22
창4동,0,0,3,11,19,28,52
창5동,1,2,1,7,11,28,39
창신1동,1,0,0,2,2,2,7
창신2동,0,0,2,1,2,6,6
창신3동,0,0,0,3,3,4,8
천연동,0,0,1,4,8,13,26
천호1동,0,0,3,4,8,26,72
천호2동,3,4,5,8,16,27,46
천호3동,1,2,1,5,15,28,57
청구동,1,2,3,6,8,12,28
청담동,8,10,31,31,53,101,146
청량리동,1,5,5,6,12,19,37
청룡동,2,4,21,46,58,68,101
청림동,0,0,0,3,6,13,19
청운효자동,1,1,4,13,20,28,51
청파동,0,0,2,6,11,13,27
충현동,3,4,3,12,23,36,66
평창동,4,5,7,29,38,41,82
풍납1동,1,1,2,7,14,20,33
풍납2동,1,2,4,11,20,32,54
필동,99,55,7,10,13,20,30
하계1동,2,2,3,12,12,22,41
하계2동,1,1,2,0,4,8,21
한강로동,37,33,6,22,44,65,129
한남동,6,6,14,22,39,66,113
합정동,3,4,4,11,18,28,71
항동,0,0,0,0,0,19,65
행당1동,5,4,22,33,40,62,82
행당2동,1,1,2,4,14,18,34
행운동,0,0,2,7,10,23,33
혜화동,0,1,2,2,8,16,23
홍은1동,0,0,1,6,9,20,47
홍은2동,0,0,1,9,27,41,58
홍제1동,1,1,5,10,15,24,42
홍제2동,0,0,1,3,4,7,18
홍제3동,0,0,0,5,5,8,21
화곡1동,0,0,13,16,27,42,85
화곡2동,0,0,1,1,6,10,19
화곡3동,1,0,2,5,7,16,26
화곡4동,0,1,2,5,8,15,22
화곡6동,2,3,4,7,7,20,48
화곡8동,0,0,17,22,25,27,40
화곡본동,1,2,4,6,9,21,40
화양동,1,1,1,8,15,20,26
황학동,0,0,1,3,5,14,31
회기동,0,0,0,2,2,7,7
회현동,5,7,11,23,47,140,103
효창동,0,0,0,1,6,10,16
후암동,1,1,2,10,14,24,37
휘경1동,2,2,2,3,4,5,14
휘경2동,2,1,2,5,9,23,41
흑석동,2,2,3,8,14,39,66
