,동별,연료별,등록 자동차 수
233,서울특별시 서초구 방배1동,전기,39
234,서울특별시 서초구 방배2동,전기,22
235,서울특별시 서초구 방배3동,전기,31
236,서울특별시 서초구 방배4동,전기,30
237,서울특별시 서초구 방배본동,전기,41
238,서울특별시 서초구 서초1동,전기,830
239,서울특별시 서초구 서초2동,전기,55
240,서울특별시 서초구 서초3동,전기,58
241,서울특별시 서초구 서초4동,전기,56
242,서울특별시 서초구 양재1동,전기,394
243,서울특별시 서초구 양재2동,전기,86
244,서울특별시 서초구 잠원동,전기,30
245,서울특별시 성동구 금호1가동,전기,16
246,서울특별시 성동구 금호2.3가동,전기,24
247,서울특별시 성동구 금호4가동,전기,20
248,서울특별시 성동구 마장동,전기,79
249,서울특별시 성동구 사근동,전기,13
250,서울특별시 성동구 성수1가1동,전기,356
251,서울특별시 성동구 성수1가2동,전기,227
252,서울특별시 성동구 성수2가1동,전기,60
253,서울특별시 성동구 성수2가3동,전기,23
254,서울특별시 성동구 송정동,전기,9
255,서울특별시 성동구 옥수동,전기,45
256,서울특별시 성동구 왕십리2동,전기,8
257,서울특별시 성동구 왕십리도선동,전기,27
258,서울특별시 성동구 용답동,전기,42
259,서울특별시 성동구 응봉동,전기,12
260,서울특별시 성동구 행당1동,전기,62
261,서울특별시 성동구 행당2동,전기,18
262,서울특별시 성북구 길음1동,전기,46
263,서울특별시 성북구 길음2동,전기,28
264,서울특별시 성북구 돈암1동,전기,11
265,서울특별시 성북구 돈암2동,전기,38
266,서울특별시 성북구 동선동,전기,10
267,서울특별시 성북구 보문동,전기,22
268,서울특별시 성북구 삼선동,전기,40
269,서울특별시 성북구 석관동,전기,30
270,서울특별시 성북구 성북동,전기,30
271,서울특별시 성북구 안암동,전기,8
272,서울특별시 성북구 월곡1동,전기,15
273,서울특별시 성북구 월곡2동,전기,25
274,서울특별시 성북구 장위1동,전기,14
275,서울특별시 성북구 장위2동,전기,9
276,서울특별시 성북구 장위3동,전기,20
277,서울특별시 성북구 정릉1동,전기,89
278,서울특별시 성북구 정릉2동,전기,24
279,서울특별시 성북구 정릉3동,전기,12
280,서울특별시 성북구 정릉4동,전기,18
281,서울특별시 성북구 종암동,전기,41
282,서울특별시 송파구 가락1동,전기,84
283,서울특별시 송파구 가락2동,전기,47
284,서울특별시 송파구 가락본동,전기,30
285,서울특별시 송파구 거여1동,전기,10
286,서울특별시 송파구 거여2동,전기,19
287,서울특별시 송파구 마천1동,전기,31
288,서울특별시 송파구 마천2동,전기,20
289,서울특별시 송파구 문정1동,전기,73
290,서울특별시 송파구 문정2동,전기,80
291,서울특별시 송파구 방이1동,전기,29
292,서울특별시 송파구 방이2동,전기,34
293,서울특별시 송파구 삼전동,전기,45
294,서울특별시 송파구 석촌동,전기,35
295,서울특별시 송파구 송파1동,전기,28
296,서울특별시 송파구 송파2동,전기,20
297,서울특별시 송파구 오금동,전기,44
298,서울특별시 송파구 오륜동,전기,17
299,서울특별시 송파구 위례동,전기,61
300,서울특별시 송파구 잠실2동,전기,74
301,서울특별시 송파구 잠실3동,전기,54
302,서울특별시 송파구 잠실4동,전기,56
303,서울특별시 송파구 잠실6동,전기,62
304,서울특별시 송파구 잠실7동,전기,8
305,서울특별시 송파구 잠실본동,전기,28
306,서울특별시 송파구 장지동,전기,34
307,서울특별시 송파구 풍납1동,전기,20
308,서울특별시 송파구 풍납2동,전기,32
309,서울특별시 양천구 목1동,전기,58
310,서울특별시 양천구 목2동,전기,25
311,서울특별시 양천구 목3동,전기,15
312,서울특별시 양천구 목4동,전기,15
313,서울특별시 양천구 목5동,전기,54
314,서울특별시 양천구 신월1동,전기,20
315,서울특별시 양천구 신월2동,전기,9
316,서울특별시 양천구 신월3동,전기,20
317,서울특별시 양천구 신월4동,전기,24
318,서울특별시 양천구 신월5동,전기,9
319,서울특별시 양천구 신월6동,전기,27
320,서울특별시 양천구 신월7동,전기,22
321,서울특별시 양천구 신정1동,전기,92
322,서울특별시 양천구 신정2동,전기,37
323,서울특별시 양천구 신정3동,전기,41
324,서울특별시 양천구 신정4동,전기,30
325,서울특별시 양천구 신정6동,전기,43
326,서울특별시 양천구 신정7동,전기,16
327,서울특별시 영등포구 당산1동,전기,64
328,서울특별시 영등포구 당산2동,전기,48
329,서울특별시 영등포구 대림1동,전기,16
330,서울특별시 영등포구 대림2동,전기,10
331,서울특별시 영등포구 대림3동,전기,16
332,서울특별시 영등포구 도림동,전기,18
333,서울특별시 영등포구 문래동,전기,50
334,서울특별시 영등포구 신길1동,전기,17
335,서울특별시 영등포구 신길3동,전기,9
336,서울특별시 영등포구 신길4동,전기,9
337,서울특별시 영등포구 신길5동,전기,16
338,서울특별시 영등포구 신길6동,전기,14
339,서울특별시 영등포구 신길7동,전기,28
340,서울특별시 영등포구 양평1동,전기,27
341,서울특별시 영등포구 양평2동,전기,41
342,서울특별시 영등포구 여의동,전기,1482
343,서울특별시 영등포구 영등포동,전기,60
344,서울특별시 영등포구 영등포본동,전기,17
345,서울특별시 용산구 남영동,전기,16
346,서울특별시 용산구 보광동,전기,10
347,서울특별시 용산구 서빙고동,전기,21
348,서울특별시 용산구 용문동,전기,13
349,서울특별시 용산구 용산2가동,전기,5
350,서울특별시 용산구 원효로1동,전기,35
351,서울특별시 용산구 원효로2동,전기,77
352,서울특별시 용산구 이촌1동,전기,52
353,서울특별시 용산구 이촌2동,전기,14
354,서울특별시 용산구 이태원1동,전기,48
355,서울특별시 용산구 이태원2동,전기,10
356,서울특별시 용산구 청파동,전기,13
357,서울특별시 용산구 한강로동,전기,65
358,서울특별시 용산구 한남동,전기,66
359,서울특별시 용산구 효창동,전기,10
360,서울특별시 용산구 후암동,전기,24
361,서울특별시 은평구 갈현1동,전기,15
362,서울특별시 은평구 갈현2동,전기,16
363,서울특별시 은평구 구산동,전기,23
364,서울특별시 은평구 녹번동,전기,66
365,서울특별시 은평구 대조동,전기,9
366,서울특별시 은평구 불광1동,전기,23
367,서울특별시 은평구 불광2동,전기,15
368,서울특별시 은평구 수색동,전기,13
369,서울특별시 은평구 신사1동,전기,28
370,서울특별시 은평구 신사2동,전기,25
371,서울특별시 은평구 역촌동,전기,32
372,서울특별시 은평구 응암1동,전기,31
373,서울특별시 은평구 응암2동,전기,30
374,서울특별시 은평구 응암3동,전기,15
375,서울특별시 은평구 증산동,전기,17
376,서울특별시 은평구 진관동,전기,134
377,서울특별시 종로구 가회동,전기,9
378,서울특별시 종로구 교남동,전기,17
379,서울특별시 종로구 무악동,전기,12
380,서울특별시 종로구 부암동,전기,15
381,서울특별시 종로구 사직동,전기,37
382,서울특별시 종로구 삼청동,전기,7
383,서울특별시 종로구 숭인1동,전기,4
384,서울특별시 종로구 숭인2동,전기,3
385,서울특별시 종로구 이화동,전기,18
386,서울특별시 종로구 종로1.2.3.4가동,전기,53
387,서울특별시 종로구 종로5.6가동,전기,6
388,서울특별시 종로구 창신1동,전기,2
389,서울특별시 종로구 창신2동,전기,6
390,서울특별시 종로구 창신3동,전기,4
391,서울특별시 종로구 청운효자동,전기,28
392,서울특별시 종로구 평창동,전기,41
393,서울특별시 종로구 혜화동,전기,16
394,서울특별시 중구 광희동,전기,28
395,서울특별시 중구 다산동,전기,22
396,서울특별시 중구 동화동,전기,8
397,서울특별시 중구 명동,전기,142
398,서울특별시 중구 소공동,전기,226
399,서울특별시 중구 신당5동,전기,8
