,동별,2015_12 등록된 전기차,2016_12 등록된 전기차,2017_12 등록된 전기차,2018_12 등록된 전기차,2019_12 등록된 전기차,2020_12 등록된 전기차,2021_12 등록된 전기차
225,서울특별시 중구 다산동,1,1,2,5,12,22,38
226,서울특별시 중구 명동,28,33,57,75,112,142,200
227,서울특별시 중구 소공동,2,2,2,15,43,226,307
228,서울특별시 중구 신당동,2,2,5,10,19,20,26
229,서울특별시 중구 약수동,1,2,2,5,7,19,36
230,서울특별시 중구 장충동,6,6,11,16,18,21,25
231,서울특별시 중구 중림동,1,2,3,14,19,28,44
232,서울특별시 중구 청구동,1,2,3,6,8,12,28
233,서울특별시 중구 필동,99,55,7,10,13,20,30
234,서울특별시 중구 회현동,5,7,11,23,47,140,103
235,서울특별시 중랑구 망우본동,1,0,3,11,17,62,89
236,서울특별시 중랑구 면목2동,1,1,2,6,14,40,56
237,서울특별시 중랑구 면목4동,10,10,0,1,5,18,35
238,서울특별시 중랑구 묵1동,2,3,6,12,22,27,60
239,서울특별시 중랑구 상봉1동,2,3,3,11,16,26,48
240,서울특별시 중랑구 신내1동,1,3,6,26,46,64,90
241,서울특별시 중랑구 신내2동,3,4,10,22,28,41,76
242,서울특별시 중랑구 중화1동,1,2,3,7,8,18,29
243,서울특별시 강남구 개포4동,0,1,4,5,8,26,69
244,서울특별시 강동구 길동,0,1,2,14,44,89,152
245,서울특별시 강동구 암사1동,0,3,5,9,16,30,58
246,서울특별시 강북구 삼각산동,0,1,3,10,19,35,55
247,서울특별시 강북구 삼양동,0,1,3,6,9,19,34
248,서울특별시 강서구 화곡4동,0,1,2,5,8,15,22
249,서울특별시 관악구 낙성대동,0,1,2,4,7,13,22
250,서울특별시 관악구 대학동,0,1,1,9,25,56,70
251,서울특별시 관악구 서림동,0,1,0,4,9,20,38
252,서울특별시 관악구 조원동,0,1,2,3,5,13,29
253,서울특별시 광진구 중곡2동,0,1,1,2,4,8,19
254,서울특별시 구로구 구로1동,0,1,5,47,57,399,1367
255,서울특별시 구로구 구로2동,0,1,19,27,33,80,148
256,서울특별시 금천구 독산1동,0,2,5,17,36,62,124
257,서울특별시 노원구 상계2동,0,2,13,13,16,37,47
258,서울특별시 노원구 상계3.4동,0,1,5,7,10,44,66
259,서울특별시 노원구 상계9동,0,1,1,3,7,9,25
260,서울특별시 노원구 월계1동,0,1,1,6,9,17,46
261,서울특별시 노원구 중계1동,0,1,5,8,9,19,37
262,서울특별시 노원구 중계4동,0,4,7,8,18,26,40
263,서울특별시 도봉구 방학3동,0,1,1,8,11,25,43
264,서울특별시 도봉구 쌍문4동,0,1,1,6,9,12,18
265,서울특별시 도봉구 창1동,0,1,2,6,22,43,55
266,서울특별시 동대문구 제기동,0,1,1,5,7,17,33
267,서울특별시 동작구 노량진1동,0,2,9,19,32,43,74
268,서울특별시 마포구 용강동,0,1,2,13,18,34,65
269,서울특별시 서대문구 남가좌1동,0,1,1,3,10,19,44
270,서울특별시 서대문구 북가좌2동,0,1,2,7,13,28,50
271,서울특별시 서초구 반포2동,0,1,5,55,68,97,153
272,서울특별시 서초구 방배2동,0,1,2,14,17,22,38
273,서울특별시 서초구 방배본동,0,2,3,10,23,41,66
274,서울특별시 성동구 성수1가2동,0,1,61,62,65,227,144
275,서울특별시 성동구 왕십리2동,0,1,1,2,3,8,24
276,서울특별시 성북구 길음1동,0,2,4,14,33,46,72
277,서울특별시 성북구 안암동,0,1,1,2,6,8,17
278,서울특별시 성북구 장위1동,0,2,3,5,8,14,42
279,서울특별시 성북구 장위2동,0,1,2,3,6,9,20
280,서울특별시 송파구 가락본동,0,1,0,10,19,30,54
281,서울특별시 송파구 문정1동,0,2,3,14,26,73,95
282,서울특별시 송파구 방이2동,0,2,4,6,12,34,71
283,서울특별시 송파구 삼전동,0,1,2,11,26,45,69
284,서울특별시 송파구 송파2동,0,1,2,6,13,20,45
285,서울특별시 송파구 오륜동,0,1,1,7,19,17,34
286,서울특별시 송파구 잠실2동,0,1,3,24,46,74,126
287,서울특별시 송파구 잠실4동,0,1,6,26,32,56,95
288,서울특별시 양천구 신월6동,0,2,3,14,16,27,49
289,서울특별시 은평구 녹번동,0,7,24,33,43,66,108
290,서울특별시 은평구 불광1동,0,1,2,6,11,23,57
291,서울특별시 은평구 신사2동,0,1,3,5,11,25,46
292,서울특별시 종로구 혜화동,0,1,2,2,8,16,23
293,서울특별시 중랑구 망우3동,0,1,2,3,10,24,52
294,서울특별시 중랑구 묵2동,0,1,2,5,4,6,23
295,서울특별시 중랑구 상봉2동,0,1,2,8,8,16,36
296,서울특별시 강남구 개포1동,0,0,2,3,5,13,23
297,서울특별시 강동구 강일동,0,0,7,27,35,60,137
298,서울특별시 강동구 명일1동,0,0,4,6,23,30,58
299,서울특별시 강동구 명일2동,0,0,2,6,12,19,34
300,서울특별시 강동구 성내3동,0,0,1,6,17,31,42
301,서울특별시 강동구 천호1동,0,0,3,4,8,26,72
302,서울특별시 강북구 송천동,0,0,1,6,9,11,29
303,서울특별시 강북구 우이동,0,0,1,5,10,13,36
304,서울특별시 강서구 등촌2동,0,0,2,4,10,18,31
305,서울특별시 강서구 방화2동,0,0,1,10,20,48,105
306,서울특별시 강서구 염창동,0,0,3,11,22,44,94
307,서울특별시 강서구 화곡1동,0,0,13,16,27,42,85
308,서울특별시 강서구 화곡2동,0,0,1,1,6,10,19
309,서울특별시 강서구 화곡8동,0,0,17,22,25,27,40
310,서울특별시 관악구 난곡동,0,0,1,6,7,10,21
311,서울특별시 관악구 남현동,0,0,2,5,12,18,18
312,서울특별시 관악구 미성동,0,0,3,4,7,14,34
313,서울특별시 관악구 서원동,0,0,1,5,9,13,27
314,서울특별시 관악구 성현동,0,0,1,6,13,19,46
315,서울특별시 관악구 신사동,0,0,1,8,12,14,27
316,서울특별시 관악구 신원동,0,0,2,2,4,10,14
317,서울특별시 관악구 은천동,0,0,2,4,9,20,57
318,서울특별시 관악구 행운동,0,0,2,7,10,23,33
319,서울특별시 광진구 구의2동,0,0,3,11,19,28,44
320,서울특별시 광진구 군자동,0,0,1,3,5,14,32
321,서울특별시 광진구 중곡1동,0,0,2,6,11,18,24
322,서울특별시 광진구 중곡4동,0,0,3,7,8,18,47
323,서울특별시 구로구 가리봉동,0,0,1,1,3,7,8
324,서울특별시 구로구 개봉2동,0,0,1,6,13,19,34
325,서울특별시 구로구 개봉3동,0,0,2,4,2,6,13
326,서울특별시 구로구 고척2동,0,0,1,7,13,20,42
327,서울특별시 금천구 독산2동,0,0,1,4,5,13,19
328,서울특별시 금천구 독산3동,0,0,1,4,8,14,31
329,서울특별시 노원구 상계8동,0,0,4,6,8,17,32
330,서울특별시 노원구 월계2동,0,0,3,8,12,21,42
331,서울특별시 노원구 월계3동,0,0,1,4,11,26,45
332,서울특별시 노원구 중계2.3동,0,0,1,11,16,26,48
333,서울특별시 도봉구 창4동,0,0,3,11,19,28,52
334,서울특별시 동대문구 답십리1동,0,0,2,12,24,36,84
335,서울특별시 동대문구 이문1동,0,0,1,2,12,17,23
336,서울특별시 동대문구 이문2동,0,0,1,6,13,14,26
337,서울특별시 동작구 노량진2동,0,0,9,11,12,13,18
338,서울특별시 동작구 상도3동,0,0,1,10,13,18,30
339,서울특별시 서대문구 남가좌2동,0,0,2,4,11,25,54
340,서울특별시 서대문구 천연동,0,0,1,4,8,13,26
341,서울특별시 서대문구 홍은1동,0,0,1,6,9,20,47
342,서울특별시 서대문구 홍은2동,0,0,1,9,27,41,58
343,서울특별시 서대문구 홍제2동,0,0,1,3,4,7,18
344,서울특별시 서초구 방배1동,0,0,4,9,32,39,62
345,서울특별시 성동구 금호1가동,0,0,5,8,11,16,32
346,서울특별시 성동구 금호4가동,0,0,2,9,16,20,46
347,서울특별시 성동구 성수2가1동,0,0,1,9,26,60,105
348,서울특별시 성동구 송정동,0,0,5,8,8,9,16
349,서울특별시 성동구 옥수동,0,0,1,14,31,45,94
350,서울특별시 성동구 왕십리도선동,0,0,2,15,16,27,71
351,서울특별시 성북구 돈암2동,0,0,3,14,28,38,62
352,서울특별시 성북구 동선동,0,0,2,6,5,10,10
353,서울특별시 성북구 석관동,0,0,1,4,10,30,54
354,서울특별시 성북구 정릉2동,0,0,1,7,19,24,45
355,서울특별시 성북구 정릉4동,0,0,1,7,34,18,40
356,서울특별시 송파구 가락1동,0,0,7,8,55,84,148
357,서울특별시 송파구 송파1동,0,0,3,8,17,28,49
358,서울특별시 송파구 잠실7동,0,0,1,3,4,8,23
359,서울특별시 양천구 신정6동,0,0,24,31,43,43,74
360,서울특별시 영등포구 대림1동,0,0,2,2,8,16,37
361,서울특별시 영등포구 대림3동,0,0,1,4,6,16,44
362,서울특별시 영등포구 도림동,0,0,2,6,9,18,35
363,서울특별시 영등포구 신길3동,0,0,1,2,5,9,24
364,서울특별시 영등포구 신길6동,0,0,1,3,5,14,28
365,서울특별시 영등포구 신길7동,0,0,1,9,16,28,61
366,서울특별시 영등포구 영등포본동,0,0,1,2,6,17,42
367,서울특별시 용산구 보광동,0,0,2,2,11,10,17
368,서울특별시 용산구 이촌2동,0,0,2,7,11,14,49
369,서울특별시 용산구 청파동,0,0,2,6,11,13,27
370,서울특별시 은평구 대조동,0,0,1,4,5,9,20
371,서울특별시 은평구 불광2동,0,0,2,5,7,15,22
372,서울특별시 은평구 증산동,0,0,2,7,7,17,30
373,서울특별시 종로구 교남동,0,0,1,4,8,17,39
374,서울특별시 종로구 창신2동,0,0,2,1,2,6,6
375,서울특별시 중구 동화동,0,0,1,4,6,8,12
376,서울특별시 중구 황학동,0,0,1,3,5,14,31
377,서울특별시 중랑구 면목7동,0,0,1,3,10,22,34
378,서울특별시 강동구 암사2동,0,0,0,6,11,19,38
379,서울특별시 강동구 암사3동,0,0,0,3,11,12,38
380,서울특별시 강북구 번1동,0,0,0,1,6,9,23
381,서울특별시 강북구 번3동,0,0,0,1,3,38,61
382,서울특별시 강북구 수유1동,0,0,0,8,9,20,24
383,서울특별시 강북구 수유2동,0,0,0,1,3,12,22
384,서울특별시 강서구 가양2동,0,0,0,5,6,11,23
385,서울특별시 강서구 가양3동,0,0,0,6,5,17,32
386,서울특별시 관악구 난향동,0,0,0,5,10,13,26
387,서울특별시 관악구 보라매동,0,0,0,4,13,19,36
388,서울특별시 관악구 인헌동,0,0,0,8,8,17,36
389,서울특별시 관악구 청림동,0,0,0,3,6,13,19
390,서울특별시 광진구 자양4동,0,0,0,2,4,6,22
391,서울특별시 광진구 중곡3동,0,0,0,3,4,9,15
392,서울특별시 구로구 오류1동,0,0,0,8,11,21,37
393,서울특별시 금천구 독산4동,0,0,0,1,5,9,20
394,서울특별시 금천구 시흥4동,0,0,0,5,10,12,24
395,서울특별시 노원구 중계본동,0,0,0,4,11,22,30
396,서울특별시 도봉구 도봉1동,0,0,0,2,10,25,56
397,서울특별시 도봉구 창2동,0,0,0,9,13,21,44
398,서울특별시 동대문구 회기동,0,0,0,2,2,7,7
399,서울특별시 마포구 대흥동,0,0,0,4,7,13,25
400,서울특별시 마포구 염리동,0,0,0,5,9,11,85
401,서울특별시 서대문구 홍제3동,0,0,0,5,5,8,21
402,서울특별시 성북구 장위3동,0,0,0,1,4,20,39
403,서울특별시 양천구 목3동,0,0,0,4,10,15,35
404,서울특별시 양천구 목4동,0,0,0,8,13,15,39
405,서울특별시 영등포구 대림2동,0,0,0,2,5,10,15
406,서울특별시 영등포구 신길1동,0,0,0,2,12,17,22
407,서울특별시 용산구 서빙고동,0,0,0,3,12,21,35
408,서울특별시 용산구 용문동,0,0,0,2,9,13,25
409,서울특별시 용산구 용산2가동,0,0,0,3,2,5,14
410,서울특별시 용산구 효창동,0,0,0,1,6,10,16
411,서울특별시 은평구 갈현2동,0,0,0,6,7,16,27
412,서울특별시 은평구 수색동,0,0,0,5,7,13,26
413,서울특별시 종로구 무악동,0,0,0,2,7,12,18
414,서울특별시 종로구 숭인1동,0,0,0,1,1,4,10
415,서울특별시 종로구 창신3동,0,0,0,3,3,4,8
416,서울특별시 중구 신당5동,0,0,0,3,4,8,18
417,서울특별시 중구 을지로동,0,0,0,1,2,6,9
418,서울특별시 중랑구 면목3.8동,0,0,0,2,4,6,29
419,서울특별시 중랑구 면목본동,0,0,0,6,8,21,33
420,서울특별시 중랑구 중화2동,0,0,0,5,6,12,34
421,서울특별시 성북구 돈암1동,0,0,0,0,7,11,26
422,서울특별시 중랑구 면목5동,0,0,0,0,6,9,26
423,서울특별시 구로구 항동,0,0,0,0,0,19,65
424,서울특별시 종로구 숭인2동,0,0,0,0,0,3,8
425,서울특별시 강동구 상일제1동,0,0,0,0,0,0,62
426,서울특별시 강동구 상일제2동,0,0,0,0,0,0,8
