,동,등록 자동차 수,격자수,격자수대비 등록수
287,오금동,97,160,0.60625
288,오류1동,37,95,0.3894736842105263
289,오류2동,78,303,0.25742574257425743
290,오륜동,34,365,0.09315068493150686
291,옥수동,94,176,0.5340909090909091
292,왕십리2동,24,43,0.5581395348837209
293,왕십리도선동,71,67,1.0597014925373134
294,용강동,65,118,0.5508474576271186
295,용답동,55,266,0.20676691729323307
296,용문동,25,26,0.9615384615384616
297,용산2가동,14,221,0.06334841628959276
298,용신동,82,178,0.4606741573033708
299,우이동,36,1211,0.02972749793559042
300,우장산동,73,96,0.7604166666666666
301,원효로1동,81,54,1.5
302,원효로2동,45,118,0.3813559322033898
303,월계1동,46,115,0.4
304,월계2동,42,175,0.24
305,월계3동,45,116,0.3879310344827586
306,월곡1동,19,109,0.1743119266055046
307,월곡2동,49,137,0.35766423357664234
308,위례동,163,246,0.6626016260162602
309,은천동,57,71,0.8028169014084507
310,을지로동,9,37,0.24324324324324326
311,응봉동,20,61,0.32786885245901637
312,응암1동,60,138,0.43478260869565216
313,응암2동,75,96,0.78125
314,응암3동,27,83,0.3253012048192771
315,이문1동,23,125,0.184
316,이문2동,26,104,0.25
317,이촌1동,275,365,0.7534246575342466
318,이촌2동,49,163,0.3006134969325153
319,이태원1동,61,73,0.8356164383561644
320,이태원2동,15,76,0.19736842105263158
321,이화동,23,94,0.24468085106382978
322,인수동,68,246,0.2764227642276423
323,인헌동,36,104,0.34615384615384615
324,일원1동,36,132,0.2727272727272727
325,일원2동,101,162,0.6234567901234568
326,일원본동,59,265,0.22264150943396227
327,자양1동,76,62,1.2258064516129032
328,자양2동,43,187,0.22994652406417113
329,자양3동,73,132,0.553030303030303
330,자양4동,22,106,0.20754716981132076
331,잠실2동,126,256,0.4921875
332,잠실3동,97,113,0.8584070796460177
333,잠실4동,95,68,1.3970588235294117
334,잠실6동,99,144,0.6875
335,잠실7동,23,60,0.38333333333333336
336,잠실본동,75,108,0.6944444444444444
337,잠원동,53,235,0.225531914893617
338,장안1동,74,123,0.6016260162601627
339,장안2동,73,96,0.7604166666666666
340,장위1동,42,96,0.4375
341,장위2동,20,68,0.29411764705882354
342,장위3동,39,106,0.36792452830188677
343,장지동,72,125,0.576
344,장충동,25,129,0.1937984496124031
345,전농1동,62,113,0.5486725663716814
346,전농2동,37,89,0.4157303370786517
347,정릉1동,115,56,2.0535714285714284
348,정릉2동,45,118,0.3813559322033898
349,정릉3동,20,335,0.05970149253731343
350,정릉4동,40,406,0.09852216748768473
351,제기동,33,120,0.275
352,조원동,29,49,0.5918367346938775
353,종로1·2·3·4가동,122,272,0.4485294117647059
354,종로5·6가동,9,81,0.1111111111111111
355,종암동,72,109,0.6605504587155964
356,중계1동,37,63,0.5873015873015873
357,중계2·3동,48,66,0.7272727272727273
358,중계4동,40,164,0.24390243902439024
359,중계본동,30,228,0.13157894736842105
360,중곡1동,24,84,0.2857142857142857
361,중곡2동,19,63,0.30158730158730157
362,중곡3동,15,80,0.1875
363,중곡4동,47,269,0.17472118959107807
364,중림동,44,100,0.44
365,중앙동,21,46,0.45652173913043476
366,중화1동,29,64,0.453125
367,중화2동,34,85,0.4
